post_id,title,status,cluster,is_glossary_page,has_definitions,product_type_entities,care_concept_entities,safety_entities,behavioral_entities,material_entities,total_entity_mentions,entity_density
5419,Cat Care Basics: A Glossary for New Cat Owners,draft,Cat Supplies,YES,NO,7,5,3,1,1,17,HIGH
5418,Dog Harness Types Explained: Finding the Right Fit,draft,Dog Harnesses,YES,YES,3,1,1,0,1,6,MEDIUM
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,draft,Dog Care,YES,YES,3,4,4,3,1,15,HIGH
5416,Dog Bed Types Explained: A Complete Glossary,draft,Dog Beds,YES,YES,5,0,0,2,2,9,MEDIUM
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,draft,Uncategorized,YES,YES,2,3,1,2,2,10,HIGH
5414,Cat Toy Types Explained: A Complete Glossary,draft,Uncategorized,YES,YES,2,2,1,1,0,6,MEDIUM
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,publish,Uncategorized,NO,YES,3,3,2,1,0,9,MEDIUM
5033,How to Choose the Right Cat Toy for Your Cat's Personality,publish,Cat Toys,NO,NO,2,1,0,0,0,3,LOW
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,publish,Cat Toys,NO,NO,1,2,0,0,0,3,LOW
5032,Cat Toys FAQ: Common Questions Answered,publish,Cat Toys,NO,NO,3,2,3,1,4,13,HIGH
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,publish,Cat Toys,NO,YES,4,4,1,2,1,12,HIGH
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,publish,Cat Toys,NO,YES,2,1,0,1,1,5,MEDIUM
4792,Puppy Socialisation: A Complete Timeline Guide,publish,Dog Supplies,NO,YES,2,4,0,2,0,8,MEDIUM
4791,How to Choose the Right Dog Training Treats,publish,Dog Supplies,NO,YES,2,2,0,1,0,5,MEDIUM
4790,DIY Dog Toys: Safe Homemade Options,publish,Dog Supplies,NO,YES,3,1,2,1,2,9,MEDIUM
4789,Best Types of Dog Toys for Different Play Styles,publish,Dog Supplies,YES,YES,2,1,2,2,2,9,MEDIUM
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,publish,Dog Supplies,NO,YES,5,4,1,3,1,14,HIGH
4787,Dog Toy Safety: What Every Owner Needs to Know,publish,Dog Supplies,NO,YES,1,1,4,1,2,9,MEDIUM
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,publish,Dog Beds,NO,YES,2,0,0,0,0,2,LOW
4785,How to Wash and Maintain Your Dog's Bed,publish,Dog Beds,NO,YES,1,0,0,0,3,4,LOW
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",publish,Dog Beds,YES,YES,1,0,0,0,3,4,LOW
