cluster,suggested_spoke_topic,rationale,priority
Dog Food,Grain-Free Dog Food Guide,Reference cluster covers niche subtopics comprehensively,10.0
Dog Food,Senior Dog Nutrition Guide,Age-specific content matches reference depth pattern,9.5
Dog Food,Puppy Food Transition Guide,Life-stage guidance mirrors reference's completeness,9.0
Dog Food,Raw vs Kibble Comparison,Comparison content matches reference's table-heavy style,8.5
Dog Food,Dog Food Allergy Guide,Health-adjacent content expands cluster authority,8.0
Dog Beds,Orthopaedic Dog Beds for Older Dogs,Age-specific subtopic matches reference depth,10.0
Dog Beds,Outdoor & Waterproof Dog Beds,Environment-specific guide fills cluster gap,9.5
Dog Beds,Anxiety-Relief Dog Beds (Calming Beds),Behavioural-crossover content adds authority,9.0
Dog Beds,Dog Bed Size Guide by Breed,Practical guide matches reference's helpful-content pattern,8.5
Dog Beds,Heated Dog Beds for Winter,Seasonal content expands cluster coverage,8.0
Puppy Care,Puppy Socialisation Timeline,Developmental stages content adds depth,10.0
Puppy Care,Puppy-Proofing Your Home Guide,Practical safety content matches reference style,9.5
Puppy Care,Puppy Vaccination Schedule UK,UK-specific authority content fills gap,9.0
Puppy Care,Puppy Sleep Training Guide,Behavioural guidance matches reference completeness,8.5
Puppy Care,First 30 Days With Your Puppy,Comprehensive onboarding guide adds cluster depth,8.0
Cat Supplies,Best Self-Cleaning Litter Boxes UK,Product-specific guide adds cluster depth,10.0
Cat Supplies,Cat Bed Buying Guide by Cat Size,Practical guide matches reference style,9.5
Cat Supplies,Eco-Friendly Cat Litter Options,Niche subtopic expands cluster coverage,9.0
Cat Supplies,Indoor Cat Enrichment Supplies,Behavioural-crossover content adds authority,8.5
Cat Supplies,Cat Carrier Guide for Vet Visits,Practical supply guide fills cluster gap,8.0
Dog Grooming,Dog Grooming Schedule by Coat Type,Breed-specific practical guide adds depth,10.0
Dog Grooming,Dog Nail Trimming Complete Guide,Specific grooming subtopic expands cluster,9.5
Dog Grooming,Dog Ear Cleaning Guide,Health-adjacent grooming content adds authority,9.0
Dog Grooming,Hypoallergenic Dog Shampoo Guide,Niche product guide fills cluster gap,8.5
Dog Grooming,Professional vs Home Dog Grooming,Comparison content matches reference style,8.0
Dog Harnesses,No-Pull Harness Training Guide,Training-crossover content adds depth,10.0
Dog Harnesses,Dog Collar vs Harness Decision Guide,Comparison content matches reference pattern,9.5
Dog Harnesses,Dog Lead Length & Material Guide,Practical buying guide fills cluster gap,9.0
Dog Harnesses,Puppy Harness Size & Fitting Guide,Age-specific guide adds cluster depth,8.5
Dog Training,Recall Training Step-by-Step Guide,Core skill guide adds cluster depth,10.0
Dog Training,Crate Training Complete Guide,Comprehensive subtopic matches reference pattern,9.5
Dog Training,Lead Reactivity Training Guide,Behavioural subtopic expands cluster,9.0
Dog Training,Puppy Training Timeline by Age,Age-specific training guide adds depth,8.5
Dog Training,Positive Reinforcement Methods Guide,Methodology content builds authority,8.0
