priority,item,current_status,owner,risk,dependency,acceptance_criteria,blocks_draft_review,blocks_publishing,blocks_automation,next_action,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status
P0-CRITICAL,WordPress application password rotation,COMPLETE,Freelancer,RESOLVED,None,"Old password returns 401, new password works",NO,NO (unblocked),NO,None - complete,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P0-CRITICAL,GitHub history secret purge,COMPLETE,Freelancer,RESOLVED,None,0 secrets in git history,NO,NO,NO,None - complete,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P0-CRITICAL,publish_draft() approval_id enforcement,COMPLETE (Phase 9D),Freelancer,RESOLVED,None,publish without valid approval_id returns blocked,NO,NO (working as intended),NO,None - complete,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P1-HIGH,Content Agent auto_publish toggle removal,COMPLETE,Freelancer,RESOLVED,None,"auto_publish permanently False, settings endpoint locked",NO,NO,NO,None - complete,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P1-HIGH,wp_publisher.py status hardcode to draft,COMPLETE,Freelancer,RESOLVED,None,create_post always uses status=draft,NO,NO,NO,None - complete,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P1-HIGH,SEO auto_fixer governance gating,COMPLETE,Freelancer,RESOLVED,None,All 6 direct write functions routed through publisher_propose_change,NO,NO,NO,None - complete,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P1-HIGH,Post 696 affiliate rel standardisation,ALREADY COMPLIANT,N/A,NONE,None,rel contains nofollow noopener noreferrer sponsored,NO,NO,NO,None - already has correct rel attributes,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P2-MEDIUM,NOC endpoint implementation,IN PROGRESS,Freelancer,LOW,Agent restart required,Priority endpoints return real status or honest unavailable,NO,NO,NO,Deploy noc_routes.py and restart manager agent,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P2-MEDIUM,Governance regression test suite (18 tests),IN PROGRESS,Freelancer,LOW,None,18/18 tests pass,NO,NO,NO,Complete test execution,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P3-LOW,Social channel re-authorization,DEFERRED - requires owner action,Owner,LOW (channels blocked),Owner Facebook/Instagram re-auth,Valid tokens for active channels,NO,NO,YES (social only),Owner to re-authorize social tokens when ready,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P3-LOW,Product Evidence verification,BLOCKED - requires owner review,Owner,LOW (evidence blocked),Owner product review,Each product verified with real evidence,NO,YES,NO,Owner to review products and verify evidence,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
P3-LOW,Dog Food content owner review,PENDING - owner reviewing,Owner,NONE,Owner editorial review,Owner approves or requests changes,NO (is the review),YES,NO,Await owner editorial feedback,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
