quality_id,evidence_id,content_id,content_title,content_url,quality_class,evidence_type,source_name,evidence_snippet,freshness_score,confidence_score,source_quality_score,trust_weight,classification_detail
eq-9ca59ca0,ev-4abac070,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,https://pethubonline.com/best-cat-nail-clippers-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-30a8a796,ev-840cbc3e,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-197cf1ce,ev-27ae5e8f,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-cat-brushes-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-215b08a1,ev-6839b390,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,https://pethubonline.com/best-cat-grooming-supplies-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-05ea5a30,ev-173c70a0,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,https://pethubonline.com/no-pull-dog-harness-guide/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-2848ea8a,ev-55920564,3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,https://pethubonline.com/best-puppy-food-uk/,structural,editorial_inference,faq_section,common questions,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-a75835ca,ev-0b777793,3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,https://pethubonline.com/best-puppy-food-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-8c0cd47b,ev-a16c13be,4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,https://pethubonline.com/best-cat-window-perches-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-4e880b1b,ev-a0853dae,4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-4615043f,ev-96d26e82,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",https://pethubonline.com/dog-harnesses-complete-guide/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-7fb3e293,ev-6507c638,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,https://pethubonline.com/cat-enrichment-activities-beyond-toys/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-294a7f59,ev-6f255443,4789,Best Types of Dog Toys for Different Play Styles,https://pethubonline.com/dog-toys-for-different-play-styles/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-272f59d2,ev-d83433c8,4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,https://pethubonline.com/best-cat-window-perches-uk/,structural,editorial_inference,faq_section,common questions,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-75372f0e,ev-d90bc5ed,4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,https://pethubonline.com/best-dog-leads-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-673bf2a2,ev-3199bd67,4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,https://pethubonline.com/best-cat-radiator-beds-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-67a998f2,ev-0792ffaa,3,Top Dog Toys Every Pet Owner Needs in 2026,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-56ec861d,ev-8ee23621,4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,https://pethubonline.com/best-heated-cat-beds-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-eb252185,ev-3036ed25,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,https://pethubonline.com/mental-stimulation-for-dogs/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-ff6f58a3,ev-431bc48a,4787,Dog Toy Safety: What Every Owner Needs to Know,https://pethubonline.com/dog-toy-safety-guide/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-adc28586,ev-8e451b78,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,https://pethubonline.com/kitten-vs-adult-cat-toys-age-appropriate/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-a35d657c,ev-46f55d89,4202,Best Cat Beds UK (2026) – Complete Guide,https://pethubonline.com/best-cat-beds-uk/,structural,editorial_inference,faq_section,Frequently Asked,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
eq-97c754ba,ev-50dbacd4,4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,https://pethubonline.com/best-puppy-collars-uk/,structural,editorial_inference,faq_section,common questions,0.4,0.4,0.35,0.43,"type=editorial_inference, source=faq_section, class=structural"
