hub_id,hub_title,cluster,total_spokes,linked_spokes,missing_links
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,29,7,"how-to-measure-dog-for-harness, best-dog-joint-supplements-uk, dog-play-styles-explained, best-elevated-dog-bowls-uk, harness-vs-collar-which-is-better, mental-stimulation-for-dogs, dog-harnesses-complete-guide, best-no-pull-dog-harnesses-uk, safe-tug-play-dogs, best-dog-collars-and-harnesses-uk"
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,26,7,"aggressive-chewer-dog-toys, safe-multi-dog-toy-management, dog-toy-durability-guide, mental-stimulation-toys-dogs, best-indestructible-dog-toys-uk, dog-toy-hygiene-schedules, top-dog-toys-every-pet-owner-needs-in-2026, dog-toy-overstimulation-signs, dog-toy-materials-compared, dog-toy-rotation-guide"
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,7,4,"dog-training-equipment-guide, best-dog-leads-uk, dog-training-terminology-explained"
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,9,7,"orthopaedic-care-dogs, dog-bed-types-glossary"
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,3,2,cat-care-basics-glossary
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,3,2,dog-dental-health-care-guide
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,3,1,"best-cat-window-perches-uk, cat-enrichment-beyond-toys"
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Other,5,2,"pet-feeding-guide, pet-enrichment-guide, pet-toy-safety-guide"
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,5,4,best-puppy-beds-uk
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,17,4,"understanding-cat-play-behaviour, best-cat-beds-uk, essential-cat-supplies-for-cat-owners, best-cat-harnesses-uk, best-cat-id-tags-uk, best-cat-litter-disposal-uk, best-cat-gps-trackers-uk, best-cat-litter-uk, best-cat-collars-uk, best-cat-radiator-beds-uk"
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,13,7,"best-indoor-cat-toys, diy-cat-toys-safe-homemade-options, cat-toy-safety-guide, how-often-replace-cat-toys, kitten-vs-adult-cat-toys-age-appropriate, cat-toy-types-glossary"
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Grooming,4,4,
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Grooming,2,2,
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,3,3,
