post_id,title,cluster,faq_score,conv_readiness,ai_readiness,extraction_potential,snippet_ready
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,65,56,HIGH,HIGH,YES
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,65,24,MEDIUM,MEDIUM,YES
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,80,32,MEDIUM,MEDIUM,YES
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,20,8,LOW,LOW,NO
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,20,16,LOW,LOW,NO
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,100,80,HIGH,HIGH,YES
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,65,40,MEDIUM,HIGH,YES
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,65,40,MEDIUM,HIGH,YES
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,65,24,MEDIUM,MEDIUM,YES
4791,How to Choose the Right Dog Training Treats,Dog Supplies,65,24,MEDIUM,MEDIUM,YES
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,65,24,MEDIUM,MEDIUM,YES
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,65,56,HIGH,HIGH,YES
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,65,24,MEDIUM,MEDIUM,YES
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,65,24,MEDIUM,MEDIUM,YES
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,65,24,MEDIUM,MEDIUM,YES
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,65,24,MEDIUM,MEDIUM,YES
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,65,24,MEDIUM,MEDIUM,YES
4783,How to Choose the Right Dog Bed Size,Dog Beds,65,24,MEDIUM,MEDIUM,YES
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,50,16,MEDIUM,MEDIUM,YES
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,65,24,MEDIUM,MEDIUM,YES
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,65,24,MEDIUM,MEDIUM,YES
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,80,32,MEDIUM,MEDIUM,YES
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,65,24,MEDIUM,MEDIUM,YES
4568,Dog Dental Health: A Practical Care Guide,Dog Care,65,24,MEDIUM,MEDIUM,YES
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,65,24,MEDIUM,MEDIUM,YES
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,65,24,MEDIUM,MEDIUM,YES
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,50,16,MEDIUM,MEDIUM,YES
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,65,40,MEDIUM,HIGH,YES
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Care,50,16,MEDIUM,MEDIUM,YES
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,50,32,MEDIUM,MEDIUM,YES
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,50,16,MEDIUM,MEDIUM,YES
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,80,32,MEDIUM,MEDIUM,YES
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,50,16,MEDIUM,MEDIUM,YES
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,50,16,MEDIUM,MEDIUM,YES
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,50,16,MEDIUM,MEDIUM,YES
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,50,16,MEDIUM,MEDIUM,YES
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,65,56,HIGH,HIGH,YES
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,50,40,MEDIUM,MEDIUM,YES
