rank,id,title,cluster,best_answer_score,weakest_dimension,weakest_score
1,3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,79.5,practical_guidance,58
2,3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,79.2,practical_guidance,52
3,3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,78.0,practical_guidance,51
4,4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,75.2,practical_guidance,48
5,3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,73.0,practical_guidance,43
6,4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,71.8,comparison_richness,44
7,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,71.5,practical_guidance,36
8,4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,71.4,comparison_richness,47
9,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,71.2,practical_guidance,44
10,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,70.8,practical_guidance,41
11,4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,70.7,comparison_richness,42
12,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,70.0,comparison_richness,47
13,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,69.8,practical_guidance,41
14,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,69.8,practical_guidance,39
15,4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,69.2,practical_guidance,44
16,4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,69.2,comparison_richness,42
17,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,69.2,comparison_richness,47
18,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,69.1,practical_guidance,23
19,4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,69.1,practical_guidance,41
20,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,68.8,practical_guidance,41
21,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,68.6,comparison_richness,47
22,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,68.5,practical_guidance,40
23,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,68.3,comparison_richness,42
24,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,68.2,practical_guidance,46
25,4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,68.0,comparison_richness,42
144,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,52.5,practical_guidance,11
145,5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,52.5,practical_guidance,9
146,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,52.3,practical_guidance,9
147,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,51.9,practical_guidance,9
148,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,51.8,practical_guidance,9
149,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,51.2,practical_guidance,10
150,4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,51.0,practical_guidance,16
151,4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,51.0,practical_guidance,3
152,7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,50.5,practical_guidance,11
153,7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,50.4,practical_guidance,4
154,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,50.2,practical_guidance,3
155,4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,49.9,practical_guidance,9
156,7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,49.6,practical_guidance,2
157,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,49.6,practical_guidance,7
158,4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,49.4,practical_guidance,27
159,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,48.9,practical_guidance,3
160,7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,48.6,practical_guidance,5
161,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,48.5,comparison_richness,0
162,4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,48.4,practical_guidance,16
163,7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,47.8,practical_guidance,7
164,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,46.4,practical_guidance,13
165,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,45.3,practical_guidance,7
166,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,41.9,practical_guidance,5
167,8172,Our Research Standards,Uncategorized,39.6,practical_guidance,9
168,8171,Why PetHub Online Exists,Uncategorized,32.8,practical_guidance,6
