# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
field,value
agent_name,Schema Safety Agent (SA-04)
purpose,Prevent unsafe structured data and support safe rich results
phase1_objective,Prevent unsafe structured data and support safe rich results
phase1_business_outcome,Improves schema safety agent for site growth and safety
phase1_hidden_requirements,"Must integrate with Co-Pilot, Mission Control, NOC without separate dashboard"
phase1_approval_boundaries,GREEN actions auto; AMBER prepare-only; RED always explicit approval
phase1_risk_level,low_monitoring_only
phase2_options,Standalone agent vs integrated module vs scheduled job
phase2_technology,Python + FastAPI + PostgreSQL + Redis
phase2_automation_vs_manual,Automated monitoring + manual approval for live changes
phase2_scalability,"Handles 100+ posts, extensible to 1000+"
phase2_security,No credential storage in agent; uses existing auth; logs all actions
phase3_data_flow,WP API -> Agent -> PostgreSQL -> Co-Pilot/Mission Control/NOC
phase3_api_routes,"api/schema-safety-agent/scan, /status, /report"
phase3_dashboard_feed,Co-Pilot + Mission Control + NOC (no separate dashboard)
phase3_rollback,All state changes logged; previous state stored; rollback via restore
phase4_agents_involved,SA-06 (Publisher Gate) for live changes; SA-10 (Export) for evidence
phase4_tradeoffs,Frequency vs resource usage; depth vs speed
phase4_final_decision,"Balanced approach: frequent lightweight checks, deep scans on schedule"
phase5_success_tests,Detects known issues; reports accurately; Co-Pilot responds correctly
phase5_failure_tests,Graceful degradation if API unavailable; DLQ for failed jobs
phase5_edge_cases,Empty results; API timeout; stale data; concurrent runs
phase5_rollback_test,State can be restored to pre-scan values
phase6_weaknesses,Depends on WP API availability; cache delays possible
phase6_maintainability,Modular design; clear separation of concerns
phase6_owner_visibility,All outputs visible in Co-Pilot; executive summaries daily
phase7_performance,Batch API calls; cache results; incremental scans
phase7_cost,Minimal API calls; reuse cached data where safe
phase7_future_proofing,"Extensible to new post types, categories, schema types"
phase8_confidence,high
phase8_risks,API rate limits; WordPress.com hosting constraints
phase8_blockers,none_for_planning
phase8_production_readiness,spec_ready_pending_implementation
responsibility_1,Scan page schema
responsibility_2,Compare schema to visible content
responsibility_3,Detect unsafe schema
responsibility_4,Validate FAQ visibility
responsibility_5,Validate Article schema
responsibility_6,Detect fake rating/review/offer schema
responsibility_7,Prepare safe schema proposals
responsibility_8,Feed Publisher gate
input_1,Page source
input_2,Rank Math schema
input_3,Schema proposal files
input_4,Product Evidence Register
input_5,FAQ content
input_6,Approval status
output_1,Schema safety report
output_2,Safe schema proposal
output_3,Unsafe schema alert
output_4,Validation report
output_5,Co-Pilot explanation
green_action_1,Scan
green_action_2,Propose safe schema
green_action_3,Validate snippets
green_action_4,Flag unsafe schema
amber_action_1,Schema deployment for safe types
red_action_1,Any Product/Review/Offer schema
red_action_2,Sitewide schema changes
acceptance_1,Product/Review/Offer schema blocked unless evidence allows
acceptance_2,Co-Pilot explains schema status
acceptance_3,Publisher checks schema before publish
copilot_command_1,show schema status
copilot_command_2,which pages have unsafe schema
copilot_command_3,schema safety for [post]
dashboard_integration,Co-Pilot + Mission Control + NOC
requires_separate_dashboard,no
approval_status,planning_only
next_action,owner_review_and_approval
