post_id,title,cluster,trust_complete,has_faq,has_glossary,has_comparison,has_practical,has_external_ref,has_related,has_checklist,internal_links,external_refs,glossary_terms,word_count,heading_count
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,1,1,1,0,1,0,1,1,9,0,9,869,9
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,1,1,1,0,0,0,1,0,13,0,9,1266,8
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,1,1,1,1,0,0,1,0,5,0,8,5558,3
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,1,1,1,1,1,0,1,1,8,0,8,4254,23
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,1,1,1,1,0,0,1,0,8,0,8,3234,22
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,1,1,1,1,1,0,1,1,8,0,9,3733,23
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,1,0,1,0,0,1,1,0,13,2,8,2043,1
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,Dog Toys,1,1,1,0,0,0,1,0,7,0,8,2161,28
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Gu,Dog Toys,1,1,1,0,0,1,1,0,7,1,8,2311,31
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,1,1,1,0,1,0,1,1,7,0,8,2393,32
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,1,1,1,0,0,1,1,0,7,1,8,2076,27
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,1,1,1,0,0,0,1,0,7,0,8,1715,22
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,Dog Beds,1,1,1,0,0,0,1,0,7,0,8,1654,20
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,1,1,1,0,0,0,1,0,7,0,8,1717,21
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,1,0,1,0,1,1,1,1,7,1,8,1703,2
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Gu,Dog Harnesses,1,1,1,0,0,0,1,0,7,0,8,1585,18
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,1,1,1,0,0,0,1,0,7,0,8,1606,19
