id,title,cluster,practical_guide_added,comparison_tables_added,citation_refs_added,trust_sources_added,status
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,Yes,10,4,Yes,COMPLETE
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,Yes,2,5,Yes,COMPLETE
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,Yes,3,4,Yes,COMPLETE
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,Yes,2,5,Yes,COMPLETE
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,Yes,3,5,Yes,COMPLETE
4791,How to Choose the Right Dog Training Treats,Dog Training,Yes,2,0,Yes,COMPLETE
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,Yes,3,1,Yes,COMPLETE
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,Yes,3,0,Yes,COMPLETE
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,Yes,1,0,Yes,COMPLETE
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,Yes,2,2,Yes,COMPLETE
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,Yes,4,0,Yes,COMPLETE
7341,First Week with a New Puppy: A Day-by-Day Guide,Educational,Yes,6,2,Yes,COMPLETE
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Educational,Yes,6,2,Yes,COMPLETE
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Educational,Yes,4,2,Yes,COMPLETE
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Educational,Yes,4,1,Yes,COMPLETE
7337,Puppy Vaccination Schedule UK: What to Expect and When,Educational,Yes,6,3,Yes,COMPLETE
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Educational,Yes,4,2,Yes,COMPLETE
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Educational,Yes,4,2,Yes,COMPLETE
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Educational,Yes,8,3,Yes,COMPLETE
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Educational,Yes,5,1,Yes,COMPLETE
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Educational,Yes,1,0,Yes,COMPLETE
4792,Puppy Socialisation: A Complete Timeline Guide,Educational,Yes,4,0,Yes,COMPLETE
4570,First-Time Dog Owner Essentials: What You Need to Know,Educational,Yes,4,0,Yes,COMPLETE
4568,Dog Dental Health: A Practical Care Guide,Educational,Yes,2,0,Yes,COMPLETE
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Educational,Yes,0,0,Yes,COMPLETE
4563,Dog Grooming Basics: A Complete Guide for Owners,Educational,Yes,2,0,Yes,COMPLETE
4414,Harness vs Collar: Which Is Better for Your Dog?,Educational,Yes,5,1,Yes,COMPLETE
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Educational,Yes,1,2,Yes,COMPLETE
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Educational,Yes,0,0,Yes,COMPLETE
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Educational,Yes,1,0,Yes,COMPLETE
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Educational,Yes,0,0,Yes,COMPLETE
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Educational,Yes,2,0,Yes,COMPLETE
4089,Best Dog Health and Care UK (2026) – Complete Guide,Educational,Yes,2,0,Yes,COMPLETE
