WP_ID,Title,Type,URL,HTTP_Status,Meta_Title,Title_Length,Title_Status,Meta_Description,Desc_Length,Desc_Status,Canonical,Canonical_Status,Robots,Has_Noindex,TTFB,Issues,Checked_At
3892,Best Dog Food &amp; Puppy Food UK,page,https://pethubonline.com/best-dog-food/,200,Best Dog Food &amp; Puppy Food UK (2026) | Dog Nutrition Guides,63,OK,"Discover the best dog food and puppy food UK pet owners trust, including dry foo...",130,OK,https://pethubonline.com/best-dog-food/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.62s,CLEAN,2026-05-28 15:34
3115,Cat Litter Trays,page,https://pethubonline.com/cat-litter-trays/,200,7 Best Cat Litter Trays for a Clean Home in 2026 | Pet Hub Online,65,LONG(65ch),"Compare the best cat litter trays for UK homes. Open, hooded, self-cleaning and ...",147,OK,https://pethubonline.com/cat-litter-trays/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.50s,title_long,2026-05-28 15:34
3113,Cat Scratching Posts,page,https://pethubonline.com/cat-scratching-posts/,200,10 Best Cat Scratching Posts to Save Your Furniture | Pet Hub Online,68,LONG(68ch),"Find the perfect cat scratching post for your feline. Compare sisal, cardboard, ...",147,OK,https://pethubonline.com/cat-scratching-posts/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.71s,title_long,2026-05-28 15:34
3111,Cat Collars,page,https://pethubonline.com/cat-collars/,200,8 Best Cat Collars for Safety and Style in 2026 | Pet Hub Online,64,OK,"Discover the safest cat collars for indoor and outdoor cats. Breakaway, reflecti...",150,OK,https://pethubonline.com/cat-collars/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.96s,CLEAN,2026-05-28 15:34
3109,Cat Grooming,page,https://pethubonline.com/cat-grooming/,200,Essential Cat Grooming Guide: 7 Must-Have Tools | Pet Hub Online,64,OK,"Complete cat grooming guide for UK owners. Learn brushing techniques, nail trimm...",145,OK,https://pethubonline.com/cat-grooming/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,2.01s,CLEAN,2026-05-28 15:34
3107,Cat Beds,page,https://pethubonline.com/cat-beds/,200,9 Best Cat Beds for Every Sleep Style in 2026 | Pet Hub Online,62,OK,"Find the perfect cat bed for your feline. Compare donut beds, cave beds, heated ...",149,OK,https://pethubonline.com/cat-beds/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,0.07s,CLEAN,2026-05-28 15:34
2561,Cookie Policy,page,https://pethubonline.com/cookie-policy/,200,Cookie Policy | Pet Hub Online,30,OK,Learn how Pet Hub Online uses cookies to improve your browsing experience. Full ...,125,OK,https://pethubonline.com/cookie-policy/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.25s,CLEAN,2026-05-28 15:34
1960,Dog Health &#038; Care,page,https://pethubonline.com/dog-health-care/,429,429 Too Many Requests,21,OK,,0,MISSING,,MISSING,not set,NO,0.23s,no_description|no_canonical,2026-05-28 15:34
1956,Dog Training &#038; Behaviour,page,https://pethubonline.com/dog-training-behaviour/,429,429 Too Many Requests,21,OK,,0,MISSING,,MISSING,not set,NO,0.22s,no_description|no_canonical,2026-05-28 15:34
1951,Dog Bowls &#038; Feeding,page,https://pethubonline.com/dog-bowls-feeding/,429,429 Too Many Requests,21,OK,,0,MISSING,,MISSING,not set,NO,0.22s,no_description|no_canonical,2026-05-28 15:34
1176,Cat Supplies,page,https://pethubonline.com/cat-supplies/,200,Top 10 Essential Cat Supplies Every Owner Needs | Pet Hub Online,64,OK,"Essential cat supplies for happy, healthy cats. Toys, beds, scratching posts, gr...",135,OK,https://pethubonline.com/cat-supplies/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,0.07s,CLEAN,2026-05-28 15:34
1149,Cat Toys,page,https://pethubonline.com/cat-toys/,200,7 Best Cat Toys That Will Transform Playtime | Pet Hub Online,61,OK,"The Best Toys for Happy Cats Top‑rated cat toys for happier, healthier playtime....",151,OK,https://pethubonline.com/cat-toys/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,0.05s,CLEAN,2026-05-28 15:34
1146,Dog Collars &amp; Leashes,page,https://pethubonline.com/dog-collars-leashes/,429,429 Too Many Requests,21,OK,,0,MISSING,,MISSING,not set,NO,0.34s,no_description|no_canonical,2026-05-28 15:34
1144,Dog Grooming,page,https://pethubonline.com/dog-grooming/,200,Best Dog Grooming Tools &amp; Supplies | Essential Guide 2026,61,OK,Keep Your Dog Looking and Feeling Great From everyday dog grooming brushes to sa...,115,OK,https://pethubonline.com/dog-grooming/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,2.23s,CLEAN,2026-05-28 15:34
1141,Dog Beds,page,https://pethubonline.com/dog-beds/,200,10 Best Dog Beds for Ultimate Comfort in 2026 | Pet Hub Online,62,OK,"Whether your dog likes to curl up, stretch out, or sprawl across the floor, this...",155,OK,https://pethubonline.com/dog-beds/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,0.06s,CLEAN,2026-05-28 15:34
1041,Dog Toys,page,https://pethubonline.com/dog-toys/,200,12 Best Dog Toys Every Owner Must Have | Pet Hub Online,55,OK,"Best dog toys for every breed and play style. Chew toys, interactive puzzles, fe...",134,OK,https://pethubonline.com/dog-toys/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,0.05s,CLEAN,2026-05-28 15:34
300,Affiliate Disclosure,page,https://pethubonline.com/affiliate-disclosure/,200,Affiliate Disclosure | Pet Hub Online,37,OK,Pet Hub Online affiliate disclosure. Learn how we earn commissions through produ...,138,OK,https://pethubonline.com/affiliate-disclosure/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.41s,CLEAN,2026-05-28 15:34
297,Terms and Conditions,page,https://pethubonline.com/terms-and-conditions/,200,Terms and Conditions | Pet Hub Online,37,OK,Pet Hub Online terms and conditions. Important information about using our websi...,111,OK,https://pethubonline.com/terms-and-conditions/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.60s,CLEAN,2026-05-28 15:34
293,Privacy Policy,page,https://pethubonline.com/privacy-policy/,200,Privacy Policy | Pet Hub Online,31,OK,"Read the Pet Hub Online privacy policy. Learn how we collect, use and protect yo...",104,OK,https://pethubonline.com/privacy-policy/,SELF,"follow, index, max-snippet:-1, max-video-preview:-",NO,1.82s,CLEAN,2026-05-28 15:34
