cluster,posts,authority_score,ownership_score,visibility_score,snippet_score,citation_score,search_coverage_score,overall_dominance,grade,analysis_date,weight_formula
Cat Supplies,35,56.8,78.8,35.5,100.0,68.6,100.0,70.6,B,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Uncategorized,45,63.6,100.0,45.1,17.9,70.2,98.6,64.7,B,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Dog Health,7,49.2,15.4,43.9,94.0,87.2,97.6,62.8,B,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Dog Beds,15,51.6,33.5,41.9,68.7,86.3,99.1,61.8,B,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Dog Supplies,29,59.3,61.3,43.0,0.0,80.6,93.9,55.8,C,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Indoor Cats,5,46.1,11.2,39.9,82.1,56.3,99.1,54.5,C,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Dog Care,16,52.4,32.4,46.0,10.4,76.8,90.1,51.1,C,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Dog Food,5,48.6,11.1,39.5,0.0,100.0,98.1,49.0,C,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Dog Harnesses,4,49.2,8.9,51.2,0.0,75.7,99.1,47.6,C,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Cat Toys,5,62.8,9.4,52.8,0.0,55.6,83.0,45.3,C,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
Pet Care,2,43.9,4.3,44.6,0.0,46.9,94.3,39.5,D,2026-05-30,authority(20%)+ownership(15%)+visibility(20%)+snippet(15%)+citation(15%)+coverage(15%)
