post_id,title,cluster,weakest_dimension,current_score,suggested_action,priority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,HIGH
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,Troubleshooting,0,Add a troubleshooting section with common problems and solutions,MEDIUM
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,MEDIUM
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,HIGH
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,Scenario Walkthroughs,10,Add 'if your pet does X' scenarios with guided responses,MEDIUM
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,When to Seek Help,0,Add guidance on when to consult a vet or professional,MEDIUM
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,MEDIUM
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,What to Avoid,20,Add a 'Common Mistakes to Avoid' or 'Warning' section,MEDIUM
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,HIGH
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,Real-World Examples,20,"Include specific product examples, brand names, or real-life scenarios",MEDIUM
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,MEDIUM
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,MEDIUM
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,MEDIUM
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,MEDIUM
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,Scenario Walkthroughs,10,Add 'if your pet does X' scenarios with guided responses,MEDIUM
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,MEDIUM
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,MEDIUM
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,Troubleshooting,0,Add a troubleshooting section with common problems and solutions,MEDIUM
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,What to Avoid,10,Add a 'Common Mistakes to Avoid' or 'Warning' section,MEDIUM
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,Troubleshooting,0,Add a troubleshooting section with common problems and solutions,MEDIUM
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,Scenario Walkthroughs,10,Add 'if your pet does X' scenarios with guided responses,LOW
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,Measurable Steps,32,Add numbered step-by-step instructions or ordered lists for key procedures,LOW
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Care General,Troubleshooting,0,Add a troubleshooting section with common problems and solutions,LOW
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,Troubleshooting,10,Add a troubleshooting section with common problems and solutions,LOW
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies,Measurable Steps,10,Add numbered step-by-step instructions or ordered lists for key procedures,LOW
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Educational,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,LOW
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Pet Care General,Measurable Steps,25,Add numbered step-by-step instructions or ordered lists for key procedures,LOW
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,What to Avoid,20,Add a 'Common Mistakes to Avoid' or 'Warning' section,LOW
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Care General,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,LOW
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,Safety Checks,25,"Add safety precautions, supervision tips, or toxicity warnings",LOW
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,LOW
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Scenario Walkthroughs,10,Add 'if your pet does X' scenarios with guided responses,LOW
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,Measurable Steps,40,Add numbered step-by-step instructions or ordered lists for key procedures,LOW
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,Scenario Walkthroughs,10,Add 'if your pet does X' scenarios with guided responses,LOW
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Scenario Walkthroughs,25,Add 'if your pet does X' scenarios with guided responses,LOW
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Care General,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,LOW
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Care,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,MEDIUM
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,MEDIUM
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Care General,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,HIGH
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,Safety Checks,10,"Add safety precautions, supervision tips, or toxicity warnings",LOW
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,Measurable Steps,0,Add numbered step-by-step instructions or ordered lists for key procedures,LOW
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Uncategorized,Troubleshooting,25,Add a troubleshooting section with common problems and solutions,LOW
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,When to Seek Help,0,Add guidance on when to consult a vet or professional,MEDIUM
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,When to Seek Help,0,Add guidance on when to consult a vet or professional,MEDIUM
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,Troubleshooting,10,Add a troubleshooting section with common problems and solutions,MEDIUM
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,When to Seek Help,0,Add guidance on when to consult a vet or professional,LOW
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,Scenario Walkthroughs,10,Add 'if your pet does X' scenarios with guided responses,LOW
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,When to Seek Help,0,Add guidance on when to consult a vet or professional,MEDIUM
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,Troubleshooting,25,Add a troubleshooting section with common problems and solutions,LOW
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,When to Seek Help,0,Add guidance on when to consult a vet or professional,MEDIUM
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,Scenario Walkthroughs,0,Add 'if your pet does X' scenarios with guided responses,HIGH
