cluster,post_id,title,authority_score,word_count,internal_links,external_refs,has_sources,has_faq,has_comparison,freshness_days,issues,remediation_actions
Uncategorized,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,75,6161,24,31,No,No,Yes,0,no sources/references section; no FAQ section,Add Sources/References section with cited links; Add FAQ section with 3-5 common questions
Uncategorized,5462,Dog Training Terminology Explained: Key Concepts for New Owners,79,2745,2,15,No,Yes,Yes,0,no sources/references section,Increase internal links to 3+; Add Sources/References section with cited links
Uncategorized,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,80,1858,8,12,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Uncategorized,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,80,1802,8,16,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Care,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,80,2688,10,17,No,Yes,No,0,no sources/references section,Add Sources/References section with cited links; Consider adding comparison table or pros/cons
Dog Care,4414,Harness vs Collar: Which Is Better for Your Dog?,82,4024,14,18,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Care,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,82,3504,14,18,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Harnesses,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,82,3578,14,18,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Uncategorized,8172,Our Research Standards,85,3573,12,19,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Uncategorized,8171,Why PetHub Online Exists,85,3073,11,19,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Indoor Cats,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,85,3658,21,15,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Indoor Cats,7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,85,3564,21,14,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Indoor Cats,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,85,3616,21,15,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Indoor Cats,7343,Indoor Cat Safety: Common Household Hazards for Cats,85,3777,21,14,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Health &amp; Wellness,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,85,3666,21,14,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Care,7341,First Week with a New Puppy: A Day-by-Day Guide,85,5010,27,20,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Health,7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",85,4512,27,20,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Care,7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,85,4506,26,19,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Care,7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,85,4343,26,22,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Health,7337,Puppy Vaccination Schedule UK: What to Expect and When,85,4982,16,20,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
Dog Beds,7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,85,4569,22,13,No,Yes,Yes,0,no sources/references section,Add Sources/References section with cited links
