WP_ID,Title,URL,HTTP_Status,TTFB,HTML_Size,CSS_Stylesheets,Blocking_Scripts,Images,Lazy_Loaded,Has_Dimensions,TTFB_Status,Size_Status,Checked_At
3892,Best Dog Food &amp; Puppy Food UK,https://pethubonline.com/best-dog-food/,200,0.04s,366KB,0,8,28,0,28,OK,HEAVY,2026-05-28 15:34
3115,Cat Litter Trays,https://pethubonline.com/cat-litter-trays/,200,0.05s,354KB,0,8,16,2,6,OK,HEAVY,2026-05-28 15:34
3113,Cat Scratching Posts,https://pethubonline.com/cat-scratching-posts/,200,0.04s,354KB,0,8,16,2,6,OK,HEAVY,2026-05-28 15:34
3111,Cat Collars,https://pethubonline.com/cat-collars/,200,0.04s,362KB,0,8,18,4,8,OK,HEAVY,2026-05-28 15:34
3109,Cat Grooming,https://pethubonline.com/cat-grooming/,200,0.04s,356KB,0,8,16,2,6,OK,HEAVY,2026-05-28 15:34
3107,Cat Beds,https://pethubonline.com/cat-beds/,200,0.04s,422KB,0,8,30,26,30,OK,HEAVY,2026-05-28 15:34
2561,Cookie Policy,https://pethubonline.com/cookie-policy/,200,0.04s,208KB,0,7,4,0,4,OK,HEAVY,2026-05-28 15:34
1960,Dog Health &#038; Care,https://pethubonline.com/dog-health-care/,200,0.04s,364KB,0,8,30,16,20,OK,HEAVY,2026-05-28 15:34
1956,Dog Training &#038; Behaviour,https://pethubonline.com/dog-training-behaviour/,200,0.04s,371KB,0,8,30,16,20,OK,HEAVY,2026-05-28 15:34
1951,Dog Bowls &#038; Feeding,https://pethubonline.com/dog-bowls-feeding/,200,0.04s,414KB,0,8,28,24,28,OK,HEAVY,2026-05-28 15:34
1176,Cat Supplies,https://pethubonline.com/cat-supplies/,200,0.04s,306KB,0,8,8,0,8,OK,HEAVY,2026-05-28 15:34
1149,Cat Toys,https://pethubonline.com/cat-toys/,200,0.04s,412KB,0,8,30,20,24,OK,HEAVY,2026-05-28 15:34
1146,Dog Collars &amp; Leashes,https://pethubonline.com/dog-collars-leashes/,200,0.04s,480KB,0,8,30,26,30,OK,HEAVY,2026-05-28 15:34
1144,Dog Grooming,https://pethubonline.com/dog-grooming/,200,0.05s,392KB,0,8,30,26,30,OK,HEAVY,2026-05-28 15:34
1141,Dog Beds,https://pethubonline.com/dog-beds/,200,0.05s,440KB,0,8,30,26,30,OK,HEAVY,2026-05-28 15:34
1041,Dog Toys,https://pethubonline.com/dog-toys/,200,0.04s,484KB,0,8,30,26,30,OK,HEAVY,2026-05-28 15:34
300,Affiliate Disclosure,https://pethubonline.com/affiliate-disclosure/,200,0.04s,208KB,0,7,4,0,4,OK,HEAVY,2026-05-28 15:34
297,Terms and Conditions,https://pethubonline.com/terms-and-conditions/,200,0.04s,210KB,0,7,4,0,4,OK,HEAVY,2026-05-28 15:34
293,Privacy Policy,https://pethubonline.com/privacy-policy/,200,0.04s,208KB,0,7,4,0,4,OK,HEAVY,2026-05-28 15:34
63,Dog Supplies,https://pethubonline.com/dog-supplies/,200,0.04s,307KB,0,8,8,0,8,OK,HEAVY,2026-05-28 15:34
