id,type,title,cluster,status,date_published,block_count,gates_passed,phase
4335,posts,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Litter,publish,2026-05-27,43,12/12 (migration),10D
4328,posts,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,Cat Litter,publish,2026-05-27,40,12/12 (migration),10D
4321,posts,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Litter,publish,2026-05-27,45,12/12 (migration),10D
4314,posts,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Litter,publish,2026-05-27,48,12/12 (migration),10D
4307,posts,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Scratching,publish,2026-05-27,40,12/12 (migration),10D
4300,posts,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Scratching,publish,2026-05-27,40,12/12 (migration),10D
4293,posts,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Scratching,publish,2026-05-27,40,12/12 (migration),10D
4286,posts,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Scratching,publish,2026-05-27,46,12/12 (migration),10D
4279,posts,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Collars & Leads,publish,2026-05-27,39,12/12 (migration),10D
4272,posts,Best Cat ID Tags UK (2026) – Identification Guide,Cat Collars,publish,2026-05-27,39,12/12 (migration),10D
4265,posts,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Collars,publish,2026-05-27,39,12/12 (migration),10D
4258,posts,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Collars,publish,2026-05-27,45,12/12 (migration),10D
4251,posts,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Grooming,publish,2026-05-27,41,12/12 (migration),10D
4244,posts,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Grooming,publish,2026-05-27,38,12/12 (migration),10D
4237,posts,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Grooming,publish,2026-05-27,42,12/12 (migration),10D
4230,posts,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Grooming,publish,2026-05-27,38,12/12 (migration),10D
4223,posts,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Beds,publish,2026-05-27,37,12/12 (migration),10D
4216,posts,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Beds,publish,2026-05-27,37,12/12 (migration),10D
4209,posts,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Beds,publish,2026-05-27,39,12/12 (migration),10D
4202,posts,Best Cat Beds UK (2026) – Complete Guide,Cat Beds,publish,2026-05-27,45,12/12 (migration),10D
4195,posts,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,publish,2026-05-27,38,12/12 (migration),10D
4188,posts,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,publish,2026-05-27,37,12/12 (migration),10D
