post_id,title,status,cluster,trust_links_count,trust_pages_referenced,implicit_trust_signals,trust_reinforcement
5425,Dog Toys FAQ: Common Questions Answered,draft,Dog Supplies,0,NONE,0,NONE
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,draft,Dog Supplies,0,NONE,0,NONE
5423,Dog Toy Enrichment: Beyond Basic Fetch,draft,Dog Supplies,0,NONE,0,NONE
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,draft,Dog Supplies,0,NONE,0,NONE
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,draft,Dog Supplies,0,NONE,0,NONE
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,draft,Dog Supplies,0,NONE,0,NONE
5419,Cat Care Basics: A Glossary for New Cat Owners,draft,Cat Supplies,0,NONE,0,NONE
5418,Dog Harness Types Explained: Finding the Right Fit,draft,Dog Harnesses,0,NONE,0,NONE
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,draft,Dog Care,0,NONE,0,NONE
5416,Dog Bed Types Explained: A Complete Glossary,draft,Dog Beds,0,NONE,0,NONE
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,draft,Uncategorized,0,NONE,0,NONE
5414,Cat Toy Types Explained: A Complete Glossary,draft,Uncategorized,0,NONE,0,NONE
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,publish,Uncategorized,0,NONE,0,NONE
5033,How to Choose the Right Cat Toy for Your Cat's Personality,publish,Cat Toys,0,NONE,0,NONE
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,publish,Cat Toys,0,NONE,0,NONE
5032,Cat Toys FAQ: Common Questions Answered,publish,Cat Toys,0,NONE,0,NONE
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,publish,Cat Toys,0,NONE,0,NONE
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,publish,Cat Toys,0,NONE,0,NONE
4792,Puppy Socialisation: A Complete Timeline Guide,publish,Dog Supplies,0,NONE,0,NONE
4791,How to Choose the Right Dog Training Treats,publish,Dog Supplies,0,NONE,0,NONE
4790,DIY Dog Toys: Safe Homemade Options,publish,Dog Supplies,0,NONE,0,NONE
4789,Best Types of Dog Toys for Different Play Styles,publish,Dog Supplies,0,NONE,0,NONE
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,publish,Dog Supplies,0,NONE,0,NONE
4787,Dog Toy Safety: What Every Owner Needs to Know,publish,Dog Supplies,0,NONE,0,NONE
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,publish,Dog Beds,0,NONE,0,NONE
4785,How to Wash and Maintain Your Dog's Bed,publish,Dog Beds,0,NONE,0,NONE
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",publish,Dog Beds,0,NONE,0,NONE
4783,How to Choose the Right Dog Bed Size,publish,Dog Beds,0,NONE,0,NONE
4573,Seasonal Pet Safety: Protecting Pets Through the Year,publish,Pet Care,0,NONE,0,NONE
4570,First-Time Dog Owner Essentials: What You Need to Know,publish,Dog Care,0,NONE,0,NONE
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,publish,Pet Care,0,NONE,0,NONE
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,publish,Dog Supplies,0,NONE,0,NONE
4571,Pet First Aid Basics: What Every Owner Should Know,publish,Dog Supplies,0,NONE,0,NONE
4568,Dog Dental Health: A Practical Care Guide,publish,Dog Care,0,NONE,0,NONE
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,publish,Dog Care,0,NONE,0,NONE
4563,Dog Grooming Basics: A Complete Guide for Owners,publish,Dog Care,0,NONE,0,NONE
4415,Cat Toy Safety Guide: What Every Owner Should Know,publish,Cat Supplies,0,NONE,0,NONE
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,publish,Cat Supplies,0,NONE,0,NONE
4414,Harness vs Collar: Which Is Better for Your Dog?,publish,Dog Care,0,NONE,0,NONE
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,publish,Dog Care,0,NONE,0,NONE
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,publish,Dog Harnesses,0,NONE,0,NONE
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",publish,Dog Care,0,NONE,0,NONE
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,publish,Cat Supplies,0,NONE,0,NONE
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,publish,Cat Supplies,0,NONE,0,NONE
4408,How Often Should You Replace Cat Toys? A Practical Guide,publish,Cat Supplies,0,NONE,0,NONE
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,publish,Cat Supplies,0,NONE,0,NONE
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4314,Best Cat Litter Trays UK (2026) – Complete Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4272,Best Cat ID Tags UK (2026) – Identification Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4258,Best Cat Collars UK (2026) – Complete Safety Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
4202,Best Cat Beds UK (2026) – Complete Guide,publish,Cat Supplies,1,Affiliate Disclosure,2,PRESENT
