id,title,cluster,at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_upgraded,status
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,fixed,fixed,n/a,added,added,added,added,fixed
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,fixed,fixed,fixed,added,added,added,added,fixed
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,fixed,fixed,n/a,fixed,fixed,added,added,fixed
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,fixed,fixed,n/a,added,added,added,added,fixed
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,fixed,fixed,n/a,added,added,added,added,fixed
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,exists,fixed,n/a,added,added,added,added,fixed
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,fixed,fixed,n/a,added,added,added,added,fixed
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,exists,fixed,fixed,added,added,added,added,fixed
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,exists,fixed,fixed,added,added,added,added,fixed
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,exists,fixed,fixed,added,added,added,added,fixed
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,exists,fixed,fixed,added,added,added,added,fixed
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,exists,fixed,fixed,added,added,added,added,fixed
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,exists,fixed,fixed,added,added,added,added,fixed
