cluster,avg_trust_depth,avg_trust_coverage,trust_depth_vs_coverage_gap,deepest_post_id,deepest_post_title,shallowest_post_id,shallowest_post_title
Educational,92.0,92.0,0.0,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,7175,Cat Supply Essentials Glossary: Understanding Cat Care Products
Dog Food,92.2,92.8,-0.6,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels
Dog Health,97.2,97.2,0.0,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms
Cat Toys,96.8,97.3,-0.5,4174,Best Cat Toys UK (2026) – Complete Guide,7177,Cat Toy Terminology: Understanding Play Types and Toy Features
Cat Supplies,100.0,100.0,0.0,4202,Best Cat Beds UK (2026) – Complete Guide,696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves
Dog Toys,91.6,99.4,-7.8,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats
Dog Training,89.8,97.7,-7.9,5462,Dog Training Terminology Explained: Key Concepts for New Owners,7345,Indoor Cat Behaviour: Understanding and Managing Common Issues
Dog Harnesses,100.0,100.0,0.0,5418,Dog Harness Types Explained: Finding the Right Fit,4412,No-Pull Dog Harness Guide: How They Work and When to Use One
Uncategorized,98.6,100.0,-1.4,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog
Dog Grooming,100.0,100.0,0.0,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide
Dog Beds,85.5,87.3,-1.8,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained"
Puppy Care,81.8,95.0,-13.2,4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,7169,Puppy Care Glossary: Essential Terms for New Puppy Owners
Indoor Cats,75.0,77.5,-2.5,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners
