post_id,title,cluster,hub_authority_score,spoke_coverage_pct,spoke_description_pct,cross_reference_density
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,62,50,100,40
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,65,55,100,44
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,68,60,100,48
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,68,60,100,48
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,74,70,100,56
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,78,75,100,60
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,74,70,100,56
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,87,90,100,72
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,81,80,100,64
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,81,80,100,64
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,78,75,100,60
4568,Dog Dental Health: A Practical Care Guide,Dog Health,74,70,100,56
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,78,75,100,60
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,78,75,100,60
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,78,75,100,60
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,81,80,100,64
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,74,70,100,56
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,71,65,100,52
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,95,100,100,84
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,90,95,100,76
