target_domain,domain_type,tier,outreach_angle,target_page_type,relevance_score,difficulty,priority,notes
pdsa.org.uk,Veterinary Charity,1,Cite PDSA Animal Wellbeing Report data in pet health articles; offer infographic collaboration on UK pet ownership trends,Resource Page / Blog,10,High,1,UK largest vet charity; PAW Report is gold-standard citation source; link from resource pages carries massive authority
bluecross.org.uk,Animal Welfare Charity,1,Offer guest expert content on indoor cat enrichment or puppy socialisation; cite Blue Cross rehoming statistics,Blog / Pet Advice Section,10,High,2,Extensive pet advice section actively links to quality resources; strong editorial team reviews submissions
rspca.org.uk,Animal Welfare Charity,1,Collaborate on seasonal pet safety content (summer heat / fireworks); cite RSPCA prosecution and rescue statistics,Advice Hub / Campaign Pages,10,Very High,3,Highest UK DA for pet welfare; extremely selective but a single link transforms domain authority
bva.co.uk,Veterinary Professional Body,1,Provide consumer-facing data summaries of BVA position statements on pet nutrition or breeding; offer to host complementary resources,Policy Pages / News,9,Very High,4,British Veterinary Association; links carry unmatched veterinary authority; pitch must demonstrate clinical accuracy
rcvs.org.uk,Veterinary Regulatory Body,1,Offer educational content supporting RCVS Practice Standards resources; link-worthy pet owner guidance aligned with regulatory standards,Find a Vet / Resources,9,Very High,5,Royal College of Veterinary Surgeons; regulatory body; any link is exceptionally authoritative
gov.uk/guidance/dog-control,Government,1,Create definitive guide on UK dog ownership laws referencing DEFRA guidance; offer as citizen-accessible resource,Policy / Guidance Pages,8,Very High,6,Direct government domain; pitch must align with public interest mandate; focus on responsible ownership content
petplanuk.com/blog,Pet Insurance / Publication,1,Offer data-driven guest posts on breed-specific health issues or cost-of-ownership analysis; cite Petplan claims data,Blog / Resource Centre,9,High,7,Petplan blog actively publishes third-party content; strong editorial process; pet health and breed content aligns perfectly
yourcatmagazine.co.uk,Pet Publication,1,Pitch expert articles on indoor cat enrichment toys or feline nutrition; offer original photography or survey data,Magazine Blog / Features,9,Medium-High,8,Niche cat magazine; smaller but highly targeted audience; good acceptance rate for quality cat-focused content
dogstodaymagazine.co.uk,Pet Publication,1,Pitch data-backed features on dog toy safety testing or harness fitting guides; offer exclusive survey results,Magazine Blog / Features,9,Medium-High,9,Leading UK dog magazine; regularly features product roundups and expert contributors
vetcompass.org,Veterinary Research,1,Cite VetCompass epidemiological data in breed health articles; offer to create consumer-friendly summaries of their research,Research Summaries / Partners,10,High,10,RVC-affiliated veterinary surveillance programme; citation-worthy data on breed health; academic authority
cats.org.uk,Cat Welfare Charity,1,Collaborate on indoor cat welfare content; offer infographics on cat toy enrichment backed by feline behaviour research,Advice Section / Blog,10,High,11,Cats Protection; largest UK cat charity; extensive advice section that links to quality external resources
dogstrust.org.uk,Dog Welfare Charity,1,Partner on responsible dog ownership content; offer complementary resources on puppy training or dog bed safety,Advice Hub / Blog,10,High,12,Dogs Trust; leading UK dog charity; publishes regular advice content and links to credible partners
thekennelclub.org.uk,Breed Registry / Authority,1,Offer breed-specific health and care guides that complement Kennel Club breed standards; cite KC registration data,Breed Information / Health,9,High,13,The Kennel Club; definitive UK breed authority; Assured Breeder Scheme pages link to quality health resources
rvc.ac.uk,University Veterinary School,2,Cite RVC clinical research in pet health articles; offer to create accessible consumer summaries of published studies,Research / Public Engagement,9,Very High,14,Royal Veterinary College London; top-tier academic authority; public engagement team may share quality consumer resources
