# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
field,value
agent_name,Publisher Gate Agent (SA-06)
purpose,Protect the live site from unsafe publication
phase1_objective,Protect the live site from unsafe publication
phase1_business_outcome,Improves publisher gate agent for site growth and safety
phase1_hidden_requirements,"Must integrate with Co-Pilot, Mission Control, NOC without separate dashboard"
phase1_approval_boundaries,GREEN actions auto; AMBER prepare-only; RED always explicit approval
phase1_risk_level,low_monitoring_only
phase2_options,Standalone agent vs integrated module vs scheduled job
phase2_technology,Python + FastAPI + PostgreSQL + Redis
phase2_automation_vs_manual,Automated monitoring + manual approval for live changes
phase2_scalability,"Handles 100+ posts, extensible to 1000+"
phase2_security,No credential storage in agent; uses existing auth; logs all actions
phase3_data_flow,WP API -> Agent -> PostgreSQL -> Co-Pilot/Mission Control/NOC
phase3_api_routes,"api/publisher-gate-agent/scan, /status, /report"
phase3_dashboard_feed,Co-Pilot + Mission Control + NOC (no separate dashboard)
phase3_rollback,All state changes logged; previous state stored; rollback via restore
phase4_agents_involved,SA-06 (Publisher Gate) for live changes; SA-10 (Export) for evidence
phase4_tradeoffs,Frequency vs resource usage; depth vs speed
phase4_final_decision,"Balanced approach: frequent lightweight checks, deep scans on schedule"
phase5_success_tests,Detects known issues; reports accurately; Co-Pilot responds correctly
phase5_failure_tests,Graceful degradation if API unavailable; DLQ for failed jobs
phase5_edge_cases,Empty results; API timeout; stale data; concurrent runs
phase5_rollback_test,State can be restored to pre-scan values
phase6_weaknesses,Depends on WP API availability; cache delays possible
phase6_maintainability,Modular design; clear separation of concerns
phase6_owner_visibility,All outputs visible in Co-Pilot; executive summaries daily
phase7_performance,Batch API calls; cache results; incremental scans
phase7_cost,Minimal API calls; reuse cached data where safe
phase7_future_proofing,"Extensible to new post types, categories, schema types"
phase8_confidence,high
phase8_risks,API rate limits; WordPress.com hosting constraints
phase8_blockers,none_for_planning
phase8_production_readiness,spec_ready_pending_implementation
responsibility_1,Validate approval_id
responsibility_2,Match approval to post
responsibility_3,Match approval to mission
responsibility_4,Confirm rollback snapshot
responsibility_5,Confirm audit log
responsibility_6,Confirm metadata compliance
responsibility_7,Confirm category assignment
responsibility_8,Confirm schema safety
responsibility_9,Confirm Product Evidence restrictions
responsibility_10,Confirm affiliate restrictions
responsibility_11,Confirm no RED-gated content
responsibility_12,Confirm social not triggered
responsibility_13,Verify post-publish state
input_1,Mission Control
input_2,Publisher
input_3,WordPress post status
input_4,Product Evidence
input_5,Schema safety
input_6,Metadata checks
input_7,Sitemap checks
input_8,Approval queue
output_1,Pre-publish checklist
output_2,Publish readiness status
output_3,Audit log link
output_4,Rollback link
output_5,Post-publish verification
output_6,Co-Pilot answer
green_action_1,Check gates
green_action_2,Block unsafe publish
green_action_3,Create publish-readiness report
amber_action_1,GSC indexing submission after publish
red_action_1,Actual publishing
red_action_2,Rollback execution
red_action_3,Schema deployment
red_action_4,Social dispatch
acceptance_1,No publish without approval
acceptance_2,No publish if critical gate fails
acceptance_3,All attempts logged
copilot_command_1,is [post] ready to publish
copilot_command_2,list publish blockers
copilot_command_3,show publish history
dashboard_integration,Co-Pilot + Mission Control + NOC
requires_separate_dashboard,no
approval_status,planning_only
next_action,owner_review_and_approval
