id,title,cluster,how_we_evaluated,realistic_expect,good_choice_if,why_sources,decision_summary,status
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,Y,Y,Y,Y,Y,success
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,Y,Y,Y,Y,Y,success
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,Y,Y,Y,Y,Y,success
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,Y,Y,Y,Y,Y,success
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,Y,Y,Y,Y,Y,success
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,Y,Y,Y,Y,Y,success
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,Y,Y,Y,Y,Y,success
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,Y,Y,Y,Y,Y,success
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,Y,Y,Y,Y,Y,success
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,Y,Y,Y,Y,Y,success
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,Y,Y,Y,Y,Y,success
4568,Dog Dental Health: A Practical Care Guide,Dog Health,Y,Y,Y,Y,Y,success
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,Y,Y,Y,Y,Y,success
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,Y,Y,Y,Y,Y,success
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,Y,Y,Y,Y,Y,success
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,Y,Y,Y,Y,Y,success
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,Y,Y,Y,Y,Y,success
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,Y,Y,Y,Y,Y,success
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,Y,Y,Y,Y,Y,success
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,Y,Y,Y,Y,Y,success
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,Y,Y,Y,Y,Y,success
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,Y,Y,Y,Y,Y,success
4791,How to Choose the Right Dog Training Treats,Dog Training,Y,Y,Y,Y,Y,success
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,Y,Y,Y,Y,Y,success
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,Y,Y,Y,Y,Y,success
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,Y,Y,Y,Y,Y,success
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,Y,Y,Y,Y,Y,success
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,Y,Y,Y,Y,Y,success
