post_id,title,terms_added,term_list,status
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",0,,already_has_glossary
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",0,,already_has_glossary
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",0,,already_has_glossary
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,0,,already_has_glossary
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,0,,already_has_glossary
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",0,,already_has_glossary
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,0,,already_has_glossary
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",0,,already_has_glossary
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,0,,already_has_glossary
5462,Dog Training Terminology Explained: Key Concepts for New Owners,0,,already_has_glossary
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,0,,already_has_glossary
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,0,,already_has_glossary
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,8,Vaccination Schedule; Parasite Prevention; Joint Dysplasia; Bloat (GDV); Kennel Cough; Dental Disease; Atopy; Brachycephalic,success
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",8,Toxic Foods; Heatstroke; Pet-Proofing; Identification Tag; Recall Safety; Antifreeze Poisoning; Double Coat; Deshedding,success
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,8,Breed Standard; Socialisation; Temperament; Pedigree; Neutering; Microchipping; Whelping; Weaning,success
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,8,Harness; Interactive Toy; Orthopaedic Bed; Slow Feeder; GPS Tracker; Calming Product; Breed Standard; Socialisation,success
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",8,Harness; Interactive Toy; Orthopaedic Bed; Slow Feeder; GPS Tracker; Calming Product; Breed Standard; Socialisation,success
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,8,Cognitive Dysfunction Syndrome (CDS); Arthritis; Mobility Aid; Senior Wellness Screen; Weight Management; Supplement; Breed Standard; Socialisation,success
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",8,Separation Anxiety; Resource Guarding; Body Language; Stress Signals; Enrichment; Reactivity; Calming Signals; Threshold,success
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,8,Breed Standard; Socialisation; Temperament; Pedigree; Neutering; Microchipping; Harness; Interactive Toy,success
5425,Dog Toys FAQ: Common Questions Answered,8,Harness; Interactive Toy; Orthopaedic Bed; Slow Feeder; GPS Tracker; Calming Product; Breed Standard; Socialisation,success
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,8,Separation Anxiety; Resource Guarding; Body Language; Stress Signals; Enrichment; Reactivity; Calming Signals; Threshold,success
5423,Dog Toy Enrichment: Beyond Basic Fetch,8,Harness; Interactive Toy; Orthopaedic Bed; Slow Feeder; GPS Tracker; Calming Product; Separation Anxiety; Resource Guarding,success
