cluster,post_count,avg_saturation,avg_authority,avg_semantic,avg_glossary,avg_trust,avg_citation,avg_practical,avg_comparison,avg_ai_readiness,avg_indexing,topical_dominance_score,rank
Educational,5,84.0,100.0,100.0,82.0,92.0,86.0,59.0,69.0,72.0,72.0,81.6,1
Dog Food,9,88.9,95.6,100.0,40.0,92.2,82.2,71.1,76.7,73.3,75.6,79.6,2
Dog Health,9,84.4,100.0,100.0,15.6,97.2,85.0,75.6,87.2,73.3,74.4,79.3,3
Cat Toys,15,78.7,99.3,100.0,8.7,97.3,88.7,72.0,89.7,77.3,74.3,78.6,4
Cat Supplies,8,75.0,100.0,100.0,1.2,100.0,90.0,66.9,100.0,77.5,73.8,78.4,5
Dog Toys,40,79.5,97.1,100.0,9.2,97.5,88.4,70.5,86.4,78.5,73.2,78.0,6
Dog Training,11,80.0,96.4,100.0,15.5,94.5,82.3,69.1,86.4,76.4,73.6,77.4,7
Dog Harnesses,6,73.3,100.0,97.2,8.3,100.0,86.7,61.7,100.0,70.0,70.8,76.8,8
Uncategorized,29,71.0,100.0,95.0,6.6,100.0,84.3,66.6,87.9,73.1,69.8,75.4,9
Dog Grooming,8,62.5,97.5,97.9,7.5,100.0,86.9,57.5,87.5,72.5,69.4,73.9,10
Dog Beds,11,67.3,80.5,100.0,21.8,85.5,65.5,41.8,54.5,58.2,68.6,64.4,11
Puppy Care,13,67.7,78.5,100.0,12.3,83.1,59.2,48.8,44.6,56.9,68.8,62.0,12
Indoor Cats,4,65.0,76.2,100.0,37.5,75.0,52.5,30.0,25.0,50.0,66.2,57.7,13
