post_id,title,cluster,outbound_links,inbound_links,outbound_clusters,inbound_clusters,glossary_links,faq_links,trust_links,semantic_flow_score
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,1,3,Dog Toys,Educational,0,1,0,35
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Cat Supplies,1,3,Cat Supplies,Cat Supplies; Cat Toys; Educational,1,1,0,40
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Educational,3,3,Dog Food; Dog Toys; Educational,Dog Food; Educational,0,3,0,50
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,4,4,Educational,Educational; Pet Care General,0,4,0,70
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Educational,4,2,Dog Food; Educational,Dog Food; Educational,0,4,0,45
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Educational,4,4,Dog Food; Dog Harnesses; Educational,Dog Food; Educational,1,4,0,65
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Educational,9,14,Dog Harnesses; Dog Toys; Educational; Pet Care General,Dog Toys; Educational; Pet Care General,1,9,0,90
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,5,5,Dog Toys; Educational,Dog Toys; Educational,0,5,0,75
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Toys,5,6,Dog Toys; Educational; Pet Care General,Dog Toys; Educational; Pet Care General,0,5,0,85
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Educational,5,5,Dog Toys; Educational,Dog Toys; Educational,0,5,0,80
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Educational,7,8,Dog Beds; Educational; Pet Care General,Dog Beds; Educational; Pet Care General,0,7,0,85
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,5,6,Dog Beds; Educational,Dog Beds; Educational,0,5,0,80
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,5,6,Dog Beds; Educational; Pet Care General,Dog Beds; Educational; Pet Care General,0,5,0,85
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Educational,5,5,Dog Beds; Educational,Dog Beds; Educational; Pet Care General,0,5,0,80
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Educational,3,3,Dog Harnesses; Educational,Dog Harnesses; Educational,0,3,0,45
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,3,3,Educational,Educational,0,3,0,60
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Educational,3,3,Dog Harnesses; Educational,Dog Harnesses; Educational,0,3,0,45
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Educational,3,4,Dog Harnesses; Educational,Dog Harnesses; Educational,0,3,0,50
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Educational,6,3,Dog Care; Dog Health; Educational,Educational,0,6,0,55
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Educational,6,3,Dog Care; Dog Health; Educational,Educational,0,6,0,55
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Educational,6,3,Dog Care; Dog Health; Educational,Educational,0,6,0,55
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Educational,6,3,Dog Care; Dog Health; Educational,Educational,0,6,0,55
4089,Best Dog Health and Care UK (2026) – Complete Guide,Educational,3,3,Educational,Educational,0,3,0,35
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Educational,3,3,Educational,Educational,0,3,0,35
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Educational,3,3,Educational,Educational,0,3,0,35
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Educational,3,3,Educational,Educational,0,3,0,35
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,5,3,Educational,Educational,0,5,0,45
4125,Best Dog Training Treats UK (2026) – Reward Guide,Educational,4,4,Educational,Educational,0,4,0,45
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Educational,5,5,Educational,Educational,0,5,0,55
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Educational,3,4,Educational,Educational,0,3,0,40
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,7,3,Cat Supplies; Educational; Pet Care General,Educational,1,7,0,65
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Educational,7,3,Educational; Pet Care General,Educational,0,7,0,55
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,8,3,Dog Toys; Educational; Pet Care General,Educational,0,8,0,60
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,7,3,Dog Toys; Educational; Pet Care General,Educational,0,7,0,60
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,8,16,Cat Toys; Educational; Pet Care General,Cat Supplies; Cat Toys; Educational; Pet Care General,0,8,0,85
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Toys,4,3,Cat Toys; Educational,Cat Toys; Educational,0,4,0,65
4188,Best Catnip Toys UK (2026) – What Works and Why,Educational,9,9,Cat Toys; Educational; Pet Care General,Cat Toys; Educational; Pet Care General,0,9,0,85
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Educational,4,3,Cat Toys; Educational; Pet Care General,Cat Toys; Educational,0,4,0,65
4202,Best Cat Beds UK (2026) – Complete Guide,Educational,3,3,Educational,Educational,0,3,0,35
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Educational,3,3,Educational,Educational,0,3,0,35
