id,title,cluster,url,word_count,saturation,authority_density,semantic_coverage,glossary_density,trust_intensity,citation_confidence,practical_usefulness,comparison_usefulness,ai_readiness,indexing_momentum,topical_dominance_score
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,https://pethubonline.com/pet-nutrition-terminology-guide/,3500,100,100,100,100,100,100,90,100,80,80,95.0
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Educational,https://pethubonline.com/pet-grooming-glossary/,3674,100,100,100,100,100,100,60,100,80,80,92.0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,https://pethubonline.com/pet-health-terminology-guide/,3504,100,100,100,100,100,100,70,85,80,75,91.0
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,https://pethubonline.com/senior-dog-toys/,3671,100,100,100,50,100,100,85,100,100,75,91.0
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,https://pethubonline.com/puppy-care-essentials-glossary/,3081,100,100,100,50,100,100,100,100,80,80,91.0
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,https://pethubonline.com/dog-behaviour-explained/,3843,100,100,100,50,100,100,90,100,80,80,90.0
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,https://pethubonline.com/pet-feeding-guide/,4198,100,100,100,40,100,100,100,100,80,80,90.0
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,https://pethubonline.com/best-dog-food-uk/,5541,100,100,100,50,100,90,100,90,80,80,89.0
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,https://pethubonline.com/pet-toy-safety-guide/,4190,100,100,100,60,100,100,85,80,80,80,88.5
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,https://pethubonline.com/indoor-cat-care-guide/,4590,100,100,100,30,100,100,90,100,80,80,88.0
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,https://pethubonline.com/dog-toy-rotation-guide/,3503,100,100,100,50,100,100,75,100,80,75,88.0
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,https://pethubonline.com/cat-care-basics-glossary/,2731,80,100,100,100,100,100,60,80,80,70,87.0
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,https://pethubonline.com/dry-vs-wet-dog-food-uk/,3170,100,100,100,10,100,90,90,100,100,80,87.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,https://pethubonline.com/dog-training-equipment-guide/,4109,100,100,100,10,100,90,90,100,80,80,85.0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,https://pethubonline.com/dog-health-basics-guide/,3812,100,100,100,30,100,100,75,85,80,80,85.0
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,https://pethubonline.com/dog-boredom-prevention/,3587,100,100,100,40,100,100,75,80,80,75,85.0
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,https://pethubonline.com/best-puppy-toys-uk/,3192,100,100,100,0,100,90,100,100,80,80,85.0
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,https://pethubonline.com/best-dry-dog-food-uk/,4258,100,100,100,10,100,90,90,100,80,80,85.0
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,https://pethubonline.com/best-cat-toys-uk/,2959,80,100,100,20,100,100,90,100,80,75,84.5
