fix_id,fix_description,risk_classification,expected_improvement,requires_staging,owner_approval,rollback_plan,priority,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
PF-001,Disable Jetpack Carousel if no image galleries are in active use,GREEN,~15KB JS reduction,NO,NO,Re-enable in Jetpack settings,1 - Quick Win,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-002,Rename OG image to remove ChatGPT reference from filename,GREEN,Trust signal improvement,NO,NO,Revert filename,1 - Quick Win,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-003,Update trust icon alt text from generic to descriptive,GREEN,Accessibility and SEO improvement,NO,NO,Revert alt text,1 - Quick Win,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-004,Fix sitemap: flush cache and verify all 54 published posts appear,GREEN,52 posts become discoverable via sitemap,NO,NO,N/A - sitemap regeneration is safe,1 - Critical Fix,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-005,Remove 4 draft Dog Food URLs from sitemap,GREEN,Clean sitemap with no 404s,NO,NO,URLs will re-appear when posts are published,1 - Critical Fix,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-006,Reassign 52 posts from Uncategorized to correct categories,GREEN,"Proper taxonomy signals, better category pages",NO,YES - confirm category mapping,Re-assign to Uncategorized,2 - High Impact,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-007,Verify CDN image resize parameters are applied to 1254x1254 images,GREEN,~50-100KB image weight reduction,NO,NO,Remove resize params,2 - Easy Win,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-008,Add object-fit CSS rules for images that may distort in containers,GREEN,Fixes image distortion from SEO report,NO,NO,Remove CSS rules,2 - Easy Win,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-009,Review GTM tags and remove any unused tracking scripts,AMBER,~30-50KB JS reduction potentially,YES,YES,Re-enable tags in GTM,3 - Needs Review,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-010,Extract critical CSS from Astra theme and inline above-fold styles,AMBER,FCP improvement of ~200-400ms,YES,YES,"Remove inline CSS, restore stylesheet",3 - Needs Staging,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-011,Investigate Batcache hit rates and TTFB consistency,GREEN,Understand hosting performance baseline,NO,NO,N/A - investigation only,2 - Understanding,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
PF-012,Evaluate hosting tier or CDN options for TTFB improvement,RED,TTFB could reach <0.8s target,YES,YES - cost implications,Stay on current hosting,4 - Owner Decision,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_fix_plan_proposed,Start with GREEN quick wins (PF-001 through PF-008)
