post_id,title,citation_score,has_sources_section,external_ref_count,has_comparison,has_faq,has_key_terms,has_editorial_disclosure,has_author_box,has_quick_answer,evidence_depth,issues,remediation_actions
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,90,True,17,False,True,True,True,True,True,17,No comparison content,Add breed/product/method comparison table or 'Compared:' section where applicable
8172,Our Research Standards,100,True,19,True,True,True,True,True,True,26,None,None
8171,Why PetHub Online Exists,100,True,19,True,True,True,True,True,True,22,None,None
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,100,True,15,True,True,True,True,True,True,38,None,None
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,100,True,14,True,True,True,True,True,True,18,None,None
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,100,True,15,True,True,True,True,True,True,19,None,None
7343,Indoor Cat Safety: Common Household Hazards for Cats,100,True,14,True,True,True,True,True,True,17,None,None
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,100,True,14,True,True,True,True,True,True,18,None,None
7341,First Week with a New Puppy: A Day-by-Day Guide,100,True,20,True,True,True,True,True,True,20,None,None
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",100,True,20,True,True,True,True,True,True,23,None,None
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,100,True,19,True,True,True,True,True,True,22,None,None
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,100,True,22,True,True,True,True,True,True,22,None,None
7337,Puppy Vaccination Schedule UK: What to Expect and When,100,True,20,True,True,True,True,True,True,22,None,None
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,100,True,13,True,True,True,True,True,True,15,None,None
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,100,True,13,True,True,True,True,True,True,14,None,None
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,100,True,11,True,True,True,True,True,True,13,None,None
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,100,True,12,True,True,True,True,True,True,13,None,None
7332,How to Wash and Dry a Dog Bed Safely,100,True,13,True,True,True,True,True,True,14,None,None
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,100,True,19,True,True,True,True,True,True,25,None,None
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,100,True,19,True,True,True,True,True,True,24,None,None
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",100,True,18,True,True,True,True,True,True,21,None,None
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,100,True,19,True,True,True,True,True,True,55,None,None
