rank,cluster,posts,ownership_score,trust_depth_score,citation_confidence_score,ai_preference_score,moat_score,visibility_potential_score,leadership_score,grade
1,Uncategorized,45,100,53.3,66.7,15.5,100,41.5,63.6,B
2,Cat Toys,5,11.1,45.3,66.7,60.6,100,76.3,62.8,B
3,Dog Supplies,29,64.4,53.3,66.7,19.3,100,43.6,59.3,C
4,Cat Supplies,35,77.8,43.0,66.7,9.8,100,36.2,56.8,C
5,Dog Care,16,35.6,61.7,66.7,7.6,100,33.3,52.4,C
6,Dog Beds,15,33.3,57.8,66.7,6.7,100,34.7,51.6,C
7,Dog Health,7,15.6,62.9,66.7,5.4,100,33.2,49.2,C
8,Dog Harnesses,4,8.9,53.3,66.7,12.5,100,40.0,49.2,C
9,Dog Food,5,11.1,66.7,66.7,3.4,100,32.0,48.6,C
10,Indoor Cats,5,11.1,53.3,66.7,1.6,100,31.0,46.1,C
11,Pet Care,2,4.4,53.3,66.7,19.4,70.0,41.7,43.9,C
