id,title,has_faq_block,faq_question_count,faq_schema_eligible,notes
3996,Best Dog Beds UK (2026),yes,5,yes,FAQPage schema via RankMath
4004,Best Orthopaedic Dog Beds UK (2026),yes,4,yes,FAQPage schema via RankMath
4011,Best Cooling Dog Beds UK (2026),yes,4,yes,FAQPage schema via RankMath
4018,Best Puppy Beds UK (2026),yes,4,yes,FAQPage schema via RankMath
4783,How to Choose the Right Dog Bed Size,yes,3,yes,Expansion post FAQ block
4784,Dog Bed Materials Explained,yes,3,yes,Expansion post FAQ block
4785,How to Wash and Maintain Your Dog's Bed,yes,3,yes,Expansion post FAQ block
4786,Where to Place Your Dog's Bed,yes,3,yes,Expansion post FAQ block
3956,Best Dog Toys UK (2026),yes,5,yes,FAQPage schema via RankMath
3957,Best Indestructible Dog Toys UK (2026),yes,4,yes,FAQPage schema via RankMath
3959,Best Interactive Dog Toys UK (2026),yes,4,yes,FAQPage schema via RankMath
3960,Best Puppy Toys UK (2026),yes,4,yes,FAQPage schema via RankMath
4787,Dog Toy Safety,yes,3,yes,Expansion post FAQ block
4788,Mental Stimulation for Dogs,yes,3,yes,Expansion post FAQ block
4789,Dog Toys for Different Play Styles,yes,3,yes,Expansion post FAQ block
4790,DIY Dog Toys,yes,3,yes,Expansion post FAQ block
4791,How to Choose the Right Dog Training Treats,yes,3,yes,Expansion post FAQ block
4792,Puppy Socialisation Guide,yes,3,yes,Expansion post FAQ block
4118,Best Dog Training and Behaviour UK (2026),yes,5,yes,Existing pillar FAQ
4125,Best Dog Training Treats UK (2026),yes,4,yes,Existing supporting FAQ
