post_id,title,cluster,authority,semantic,glossary,trust,comparison,ai_readiness,practical_usefulness,citation,overall_quality,quality_tier
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,65,85,90,64,71,90,44,25,66.8,B
3836,Best Dog Food UK (2026) – Complete Buying Guide,Educational,58,85,96,64,83,78,38,15,64.6,B
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Educational,46,85,84,54,79,80,31,15,59.2,C
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,55,83,84,64,47,85,25,5,56.0,C
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Educational,42,66,84,79,8,90,31,33,54.1,C
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Educational,40,62,100,36,50,75,40,22,53.1,C
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,34,77,100,39,26,80,40,25,52.6,C
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Puppy Care,44,44,99,48,33,75,46,30,52.4,C
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,52,65,90,54,17,75,37,22,51.5,C
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Educational,43,74,90,38,32,75,31,28,51.4,C
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Pet Care General,34,58,93,39,30,75,50,25,50.5,C
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Educational,54,49,87,38,33,75,41,23,50.0,C
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,34,64,100,38,22,75,40,25,49.8,C
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Pet Care General,49,50,100,48,13,75,31,25,48.9,C
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Pet Care General,58,50,90,38,8,75,44,27,48.8,C
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,35,62,100,38,28,75,19,28,48.1,C
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Pet Care General,34,66,90,36,8,75,50,25,48.0,C
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,30,57,79,49,17,73,53,25,47.9,C
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Pet Care General,39,57,100,32,19,75,28,30,47.5,C
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,34,66,84,39,0,75,55,25,47.2,C
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,30,55,82,39,22,73,50,25,47.0,C
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Educational,40,50,99,39,8,75,38,27,47.0,C
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Educational,34,71,96,38,8,75,28,25,46.9,C
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,33,64,75,73,4,83,34,9,46.9,C
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Pet Care General,35,52,85,39,21,73,39,25,46.1,C
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Educational,30,50,99,39,22,75,31,22,46.0,C
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,34,60,90,36,7,75,40,25,45.9,C
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Educational,34,64,78,59,29,73,30,0,45.9,C
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,33,73,87,44,12,75,35,5,45.5,C
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,35,68,76,39,21,73,24,25,45.1,C
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,33,33,92,43,26,74,46,12,44.9,D
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Educational,28,63,87,63,5,76,28,9,44.9,D
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,24,63,87,73,5,83,22,0,44.6,D
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Educational,24,68,84,69,0,76,25,10,44.5,D
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,39,51,100,38,5,75,22,25,44.4,D
4568,Dog Dental Health: A Practical Care Guide,Dog Health,42,62,75,59,0,71,34,12,44.4,D
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,24,65,78,49,50,71,16,0,44.1,D
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Educational,28,61,84,63,0,76,28,9,43.6,D
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Educational,24,63,75,69,5,76,26,10,43.5,D
4202,Best Cat Beds UK (2026) – Complete Guide,Educational,24,57,78,68,20,69,22,10,43.5,D
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Pet Care General,40,54,74,49,15,68,17,30,43.4,D
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,29,60,75,64,4,90,25,0,43.4,D
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Educational,30,68,78,59,10,62,38,0,43.1,D
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Educational,24,63,84,63,16,76,19,0,43.1,D
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Educational,24,61,78,69,5,69,28,10,43.0,D
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Educational,24,64,81,63,0,90,22,0,43.0,D
4414,Harness vs Collar: Which Is Better for Your Dog?,Educational,30,60,75,59,36,54,29,0,42.9,D
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,29,61,75,64,26,54,24,10,42.9,D
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Educational,24,70,78,74,5,76,16,0,42.9,D
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,35,52,82,39,12,73,24,25,42.8,D
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,33,65,81,39,17,58,34,15,42.8,D
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,30,50,71,49,17,68,31,25,42.6,D
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Educational,34,62,75,59,27,54,30,0,42.6,D
4174,Best Cat Toys UK (2026) – Complete Guide,Educational,24,59,78,64,15,69,31,0,42.5,D
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Educational,29,68,78,63,0,83,19,0,42.5,D
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Educational,25,69,75,68,3,69,18,10,42.1,D
