id,title,cluster,methodology_depth,source_support,editorial_transparency,evidence_support,correction_visibility,disclosure_visibility,ai_transparency,overall_score
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,0.67,1.00,1.00,0.67,1.00,1.00,1.00,88.2
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
