cluster,total_posts,published,draft,total_words,avg_words,faq_saturation,entity_saturation,answer_saturation,link_density,trust_density,indexing_penetration,ai_visibility,structure_density,support_coverage,authority_score,grade,glossary_pages,faq_pages,safety_pages,how_to_pages
Dog Supplies,55,53,2,53690,976,62,100,100,47,92,96,100,100,100,85,A,5,0,5,40
Cat Supplies,32,31,1,25010,781,44,80,100,77,100,96,100,100,100,85,A,2,0,5,23
Pet Care,29,28,1,22694,782,49,80,100,71,100,96,100,100,100,85,A,2,0,5,20
Product Reviews,43,43,0,42151,980,53,40,100,73,93,100,100,100,100,82,A,1,0,4,34
Dog Care,12,11,1,9330,777,55,70,100,50,100,91,100,100,100,81,A,1,0,3,8
Dog Toys,8,8,0,8502,1062,72,25,100,45,100,100,100,100,100,80,A,1,0,2,3
Dog Beds,9,8,1,8375,930,66,50,100,40,100,88,100,100,100,79,A,2,0,0,6
Dog Harnesses,7,6,1,6109,872,57,50,100,40,100,85,100,100,100,78,A,2,0,1,5
Puppy Care,8,7,1,8973,1121,72,45,100,35,87,87,100,100,100,77,A,0,0,0,6
Training Supplies,6,6,0,4763,793,46,15,100,45,100,100,100,100,100,75,A,0,0,0,5
Buying Guides,3,3,0,2230,743,40,15,100,75,100,100,100,100,40,75,A,0,0,0,2
Orthopaedic Care,2,2,0,1811,905,80,0,100,45,100,100,100,100,40,75,A,0,0,0,2
Uncategorized,3,1,2,2637,879,66,50,100,55,100,33,100,100,60,74,B,2,0,0,1
Dog Health,5,5,0,3985,797,48,0,100,39,100,100,100,100,100,73,B,0,0,0,5
Interactive Toys,2,2,0,2097,1048,60,0,100,52,100,100,100,100,40,73,B,0,0,0,2
Pet Beds,4,4,0,3044,761,45,0,100,45,100,100,100,100,60,71,B,0,0,0,3
Dog Food,4,4,0,10284,2571,100,0,100,48,0,100,100,100,80,71,B,0,0,0,4
Indoor Cats,1,1,0,750,750,40,0,100,60,100,100,100,100,20,71,B,0,0,0,1
Pet Health,3,3,0,2506,835,40,0,100,45,100,100,100,100,60,70,B,0,0,0,3
Cat Toys,15,15,0,10445,696,46,0,66,84,100,100,66,93,100,68,B,0,1,2,10
