cluster,post_count,avg_readiness,ready_count,near_ready_count,developing_count,not_applicable_count,top_commercial_intent_post,strongest_dimension,weakest_dimension
Cat Supplies,23,87.0,16,4,3,0,Best Cat ID Tags UK (2026) – Identification Guide (92.4),ownership_score (100.0),commercial_intent (73.5)
Dog Food,5,84.9,0,5,0,0,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide (84.7),ownership_score (100.0),commercial_intent (69.2)
Training Supplies,6,83.5,3,0,3,0,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses (80.2),ownership_score (100.0),commercial_intent (57.6)
Dog Toys,14,82.5,4,7,3,0,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews (90.9),ownership_score (100.0),commercial_intent (55.8)
Dog Supplies,7,81.6,4,1,2,0,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide (84.6),ownership_score (100.0),commercial_intent (60.8)
Dog Beds,15,81.3,4,4,7,0,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews (97.1),ownership_score (100.0),commercial_intent (53.9)
Cat Toys,16,81.2,4,7,5,0,Best Cat Toys UK (2026) – Complete Guide (90.3),ownership_score (100.0),commercial_intent (54.0)
Dog Harnesses,7,80.9,0,7,0,0,Best Dog Collars and Harnesses UK (2026) – Complete Guide (84.2),ownership_score (100.0),commercial_intent (57.8)
Dog Care,12,79.4,4,0,8,0,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide (88.6),ownership_score (100.0),commercial_intent (47.8)
Puppy Care,2,78.9,1,0,1,0,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide (73.5),ownership_score (100.0),commercial_intent (42.5)
Dog Health,8,75.8,0,3,5,0,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide (61.4),ownership_score (100.0),commercial_intent (35.4)
Indoor Cats,6,70.3,0,0,6,0,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats (22.4),ownership_score (100.0),commercial_intent (18.0)
Uncategorized,45,70.2,1,0,44,0,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats (72.6),ownership_score (100.0),commercial_intent (20.6)
Pet Care,2,68.2,0,0,2,0,Seasonal Pet Safety: Protecting Pets Through the Year (12.0),ownership_score (100.0),commercial_intent (12.0)
