post_id,title,slug,cluster,word_count,trust_intensity,glossary_density,faq_coverage,comparison_density,practical_usefulness,educational_depth,external_references,internal_link_density,answer_readiness,citation_confidence,semantic_depth,beginner_accessibility,safety_coverage,decision_support,authority_balance,overall_authority_density,authority_tier
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,best-dry-dog-food-uk,Dog Food,2943,64,54,44,65,56,88,10,98,68,51,66,34,6,16,61,54.93,B
3836,Best Dog Food UK (2026) – Complete Buying Guide,best-dog-food-uk,Dog Food,4266,54,54,34,65,45,93,5,98,68,57,75,29,46,57,67,53.76,B
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,best-puppy-food-uk,Dog Food,2144,48,49,49,52,37,88,5,98,68,51,57,20,11,12,56,48.15,B
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,dry-vs-wet-dog-food-uk,Dog Food,1837,41,54,49,65,41,83,5,88,76,44,49,25,10,0,53,47.9,B
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,pet-health-terminology-guide,Dog Health,2826,17,73,49,12,28,78,36,100,76,37,81,30,51,4,54,44.36,B
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",dog-health-basics-guide,Dog Health,2884,48,37,49,4,32,78,24,100,72,33,54,21,34,21,57,43.05,B
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,best-dog-toys-uk,Dog Toys,1797,48,30,39,4,45,79,29,100,68,26,30,24,18,65,54,42.83,B
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",mental-stimulation-toys-dogs,Dog Toys,2635,17,60,49,32,39,78,36,100,56,30,40,42,0,8,53,42.45,B
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",dog-training-equipment-guide,Dog Training,2718,17,33,49,29,48,78,41,100,56,29,48,39,6,25,61,42.4,B
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,dog-toy-rotation-guide,Dog Toys,2471,17,56,49,19,52,78,36,100,56,30,38,42,10,7,55,42.31,B
