anchor_text,target_url,usage_count,diversity_status
indoor cat care: a complete guide to keeping house cats happy and healthy,https://pethubonline.com/indoor-cat-care-guide,3,warning
catio kits uk: complete guide,https://pethubonline.com/,3,warning
diy catio plans: guide,https://pethubonline.com/,3,warning
indoor cat exercise: daily routines to keep cats active,https://pethubonline.com/,3,warning
indoor cat enrichment,https://pethubonline.com/indoor-cat-behaviour-common-issues,3,warning
indoor cat enrichment,https://pethubonline.com/indoor-cat-exercise-guide,1,ok
indoor cat enrichment,https://pethubonline.com/best-cat-toys-indoor-cats-uk,1,ok
keeping indoor cats happy,https://pethubonline.com/indoor-cat-diet-nutrition-guide,3,warning
keeping indoor cats happy,https://pethubonline.com/indoor-cat-safety-household-hazards,1,ok
indoor cat care: a complete,https://pethubonline.com/indoor-cat-care-guide,3,warning
catio kits uk: complete guide to outdoor cat enclosures,https://pethubonline.com/,3,warning
diy catio plans: how to build a cat enclosure in the uk,https://pethubonline.com/,3,warning
indoor cat exercise: daily routines to keep uk cats active,https://pethubonline.com/,3,warning
indoor cat diet and nutrition: feeding guidelines for house cats,https://pethubonline.com/indoor-cat-diet-nutrition-guide,3,warning
diy catio plans: how to,https://pethubonline.com/,3,warning
indoor cat exercise: guide,https://pethubonline.com/,3,warning
indoor cat diet and nutrition: feeding tipslines for house cats,https://pethubonline.com/indoor-cat-diet-nutrition-guide,3,warning
catio kits uk: guide,https://pethubonline.com/,3,warning
indoor cat behaviour: understanding and managing common issues,https://pethubonline.com/indoor-cat-behaviour-common-issues,1,ok
pet first aid basics: what every owner should know,https://pethubonline.com/pet-first-aid-basics,3,warning
multi-pet household management: uk guide,https://pethubonline.com/,3,warning
seasonal pet care guide,https://pethubonline.com/,3,warning
first-time pet owner : complete beginner guide,https://pethubonline.com/,3,warning
essential pet care tips,https://pethubonline.com/puppy-teething-guide-stages-signs,3,warning
essential pet care tips,https://pethubonline.com/first-week-new-puppy-guide,3,warning
essential pet care tips,https://pethubonline.com/pet-first-aid-basics,3,warning
essential pet care tips,https://pethubonline.com/,3,warning
essential pet care tips,https://pethubonline.com/cat-supply-essentials-glossary-understanding-cat-care-products,1,ok
essential pet care tips,https://pethubonline.com/best-cat-brushes-uk,1,ok
pet first aid basics: what,https://pethubonline.com/pet-first-aid-basics,3,warning
