id,title,old_meta_title,new_meta_title,old_meta_desc,new_meta_desc,alt_text_updated,status
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Low-Mobility Enrichment: Mental Stimulation for Dogs with,(unchanged),"Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Toy Overstimulation Recovery: Calming Down an Overexcited,(unchanged),"Toy Overstimulation Recovery: Calming Down an Overexcited Dog. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Sensory Enrichment for Dogs: Engaging All Five Senses,(unchanged),"Sensory Enrichment for Dogs: Engaging All Five Senses Through Play. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Confidence-Building Play: Helping Shy and Fearful Dogs,(unchanged),"Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Play Recovery After Surgery: Gentle Enrichment for,(unchanged),"Play Recovery After Surgery: Gentle Enrichment for Healing Dogs. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,(unchanged),"Dog Toy Hygiene Schedules: A Practical Cleaning Timetable. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Safe Multi-Dog Toy Management: Preventing Resource Guarding,(unchanged),"Safe Multi-Dog Toy Management: Preventing Resource Guarding. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Rotating Puzzle Complexity: Progressive Challenge for,(unchanged),"Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Enrichment by Breed Group: Tailoring Play to Your Dog’s,(unchanged),"Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,(unchanged),"Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs. Practical advice, expert tips, and everything UK pet owners need to know.",(unchanged),no,no_change
5950,Dog Toy Durability Guide: What Lasts and What Does Not,,Dog Toy Durability Guide: What Lasts and What Does Not,,Your complete guide to dog toy durability guide: what lasts and what does not. Evidence-based advice and practical tips for UK pet owners in 2026.,no,updated_xmlrpc
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,,Cognitive Enrichment for Senior Dogs: Gentle Play for,,"Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,,Enrichment Schedules for Dogs: Structuring Daily Play and,,"Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,,Dog Toy Storage and Organisation: Keeping Toys Clean and,,"Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,,Crate and Play Enrichment: Keeping Dogs Happy in Confined,,"Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",,"Safe Tug Play with Dogs: Rules, Benefits, and Common",,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,,Scent-Game Enrichment for Dogs: Using Smell to Engage,,"Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,,Signs of Toy Overstimulation in Dogs: When Play Becomes,,"Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,,"Dog Toy Safety by Breed Size: Choosing the Right Size Toy. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",,"Dog Training Equipment Explained: Tools, Uses, and What",,"Understand dog training equipment with this clear, jargon-free guide. Practical knowledge every UK pet owner should have.",no,updated_xmlrpc
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",,"Orthopaedic Care for Dogs: Joint Health, Mobility, and",,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,,Pet Health Terminology: A Guide to Common Veterinary Terms,,Your complete guide to pet health terminology. Evidence-based advice and practical tips for UK pet owners in 2026.,no,updated_xmlrpc
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",,"Dog Health Basics: Common Conditions, Prevention, and",,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,,Indoor Cat Care: A Complete Guide to Keeping House Cats,,Your complete guide to indoor cat care. Evidence-based advice and practical tips for UK pet owners in 2026.,no,updated_xmlrpc
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,,Dog Behaviour Explained: Understanding Your Dog’s Body,,"Understand dog behaviour with this clear, jargon-free guide. Practical knowledge every UK pet owner should have.",no,updated_xmlrpc
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",,"Pet Enrichment Explained: Types, Benefits, and Practical",,"Understand pet enrichment with this clear, jargon-free guide. Practical knowledge every UK pet owner should have.",no,updated_xmlrpc
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,,Dog Bed Sizing Guide: How to Measure Your Dog and Choose,,"Learn how to dog bed sizing guide with our step-by-step guide. Practical tips, expert advice, and common mistakes to avoid.",no,updated_xmlrpc
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",,"Pet Toy Safety: Understanding Materials, Hazards, and",,"Pet Toy Safety: Understanding Materials, Hazards, and Standards. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,,Puppy Development Stages: A Complete Guide from Birth to,,Your complete guide to puppy development stages. Evidence-based advice and practical tips for UK pet owners in 2026.,no,updated_xmlrpc
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,,Dog Toy Lifespan: When to Replace Toys and How to Extend,,"Learn how to dog toy lifespan with our step-by-step guide. Practical tips, expert advice, and common mistakes to avoid.",no,updated_xmlrpc
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",,"Mental Stimulation Toys for Dogs: Puzzles, Games, and",,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,,Senior Dog Toys: Gentle Play Options for Older Dogs,,"Senior Dog Toys: Gentle Play Options for Older Dogs. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",,"Dog Boredom Prevention: Signs, Solutions, and Enrichment",,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,,Dog Toy Rotation: How to Keep Your Dog Interested and,,"Learn how to dog toy rotation with our step-by-step guide. Practical tips, expert advice, and common mistakes to avoid.",no,updated_xmlrpc
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",,"Pet Feeding Guide: Understanding Portions, Schedules, and",,"Your complete guide to pet feeding guide: understanding portions, schedules, and methods. Evidence-based advice and practical tips for UK pet owners in 2026.",no,updated_xmlrpc
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,,Pet Grooming Glossary: Understanding Grooming Terms,,"Your complete glossary of pet grooming terms and techniques. Simple definitions, practical explanations, and everything UK pet owners need to know.",no,updated_xmlrpc (fixed)
5462,Dog Training Terminology Explained: Key Concepts for New Owners,,Dog Training Terminology Explained: Key Concepts for New,,"Understand dog training terminology with this clear, jargon-free guide. Practical knowledge every UK pet owner should have.",no,updated_xmlrpc
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,,Pet Nutrition Terminology: A Guide to Common Terms on Pet,,Your complete guide to pet nutrition terminology. Evidence-based advice and practical tips for UK pet owners in 2026.,no,updated_xmlrpc
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,,Cat Scratching Behaviour Explained: Why Cats Scratch and,,"Learn how to cat scratching behaviour explained with our step-by-step guide. Practical tips, expert advice, and common mistakes to avoid.",no,updated_xmlrpc
5425,Dog Toys FAQ: Common Questions Answered,,Dog Toys FAQ: Common Questions Answered,,"Get answers to the most common questions about dog toys. Clear, expert-backed advice for UK pet owners.",no,updated_xmlrpc
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,,Aggressive Chewer Guide: Safe Toys for Power Chewers,,Your complete guide to aggressive chewer guide: safe toys for power chewers. Evidence-based advice and practical tips for UK pet owners in 2026.,no,updated_xmlrpc
5423,Dog Toy Enrichment: Beyond Basic Fetch,,Dog Toy Enrichment: Beyond Basic Fetch,,"Dog Toy Enrichment: Beyond Basic Fetch. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,,Indoor vs Outdoor Dog Toys: Choosing the Right Type,,"An honest comparison: Indoor vs Outdoor Dog Toys: Choosing the Right Type. See the key differences, pros, cons, and which option suits your pet best.",no,updated_xmlrpc
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,,Puppy-Safe Dog Toys: What to Look For and What to Avoid,,"Puppy-Safe Dog Toys: What to Look For and What to Avoid. Practical advice, expert tips, and everything UK pet owners need to know.",no,updated_xmlrpc
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,,"Learn how to dog toy cleaning guide with our step-by-step guide. Practical tips, expert advice, and common mistakes to avoid.",no,updated_xmlrpc
