post_id,title,cluster,terms_present,terms_missing,glossary_terms,inline_defs,completeness_score,missing_terms_list,weak_definitions
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,dog_toys,5,13,6,6,47,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; flirt pole; dental chew; denier; stuffable toy; nylon chew; positive reinforcement; body condition score; microchip,snuffle mat; lick mat; BVA
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,dog_toys,6,12,6,4,46,desensitisation; resource guarding; puzzle feeder; interactive toy; snuffle mat; dental chew; denier; stuffable toy; nylon chew; positive reinforcement; body condition score; microchip,enrichment; tug toy; flirt pole; lick mat; BVA
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,dog_toys,7,11,6,8,57,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; dental chew; denier; stuffable toy; nylon chew; positive reinforcement; body condition score,flirt pole; snuffle mat; lick mat; BVA
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,dog_toys,3,15,6,2,32,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; flirt pole; dental chew; lick mat; denier; stuffable toy; nylon chew; BVA; positive reinforcement; body condition score; microchip,enrichment; snuffle mat
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,dog_toys,8,10,6,8,61,desensitisation; resource guarding; puzzle feeder; interactive toy; dental chew; denier; stuffable toy; nylon chew; positive reinforcement; body condition score,tug toy; flirt pole; snuffle mat; lick mat; BVA
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog_toys,3,15,6,8,44,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; flirt pole; snuffle mat; dental chew; denier; stuffable toy; nylon chew; BVA; positive reinforcement; body condition score; microchip,enrichment; lick mat
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,dog_toys,5,13,6,10,55,desensitisation; puzzle feeder; interactive toy; tug toy; flirt pole; snuffle mat; dental chew; lick mat; denier; stuffable toy; nylon chew; body condition score; microchip,enrichment; BVA
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,dog_toys,3,15,6,2,32,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; flirt pole; snuffle mat; dental chew; lick mat; denier; stuffable toy; nylon chew; BVA; positive reinforcement; body condition score,(none)
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,dog_toys,8,10,6,10,65,desensitisation; resource guarding; interactive toy; dental chew; lick mat; denier; nylon chew; BVA; positive reinforcement; body condition score,(none)
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,dog_toys,7,11,6,8,57,puzzle feeder; interactive toy; tug toy; flirt pole; dental chew; denier; stuffable toy; nylon chew; positive reinforcement; body condition score; microchip,snuffle mat; BVA
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog_toys,4,14,6,12,51,desensitisation; resource guarding; puzzle feeder; interactive toy; flirt pole; snuffle mat; dental chew; lick mat; denier; stuffable toy; BVA; positive reinforcement; body condition score; microchip,enrichment; tug toy; nylon chew
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",dog_toys,4,14,6,12,51,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; flirt pole; snuffle mat; dental chew; lick mat; denier; BVA; positive reinforcement; body condition score; microchip,stuffable toy; nylon chew
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,dog_toys,4,14,6,8,47,desensitisation; resource guarding; puzzle feeder; interactive toy; tug toy; flirt pole; dental chew; denier; stuffable toy; nylon chew; BVA; positive reinforcement; body condition score; microchip,(none)
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,dog_toys,5,13,6,6,47,desensitisation; resource guarding; interactive toy; tug toy; flirt pole; dental chew; denier; stuffable toy; nylon chew; BVA; positive reinforcement; body condition score; microchip,puzzle feeder; snuffle mat; lick mat
