post_id,title,ai_score,has_quick_answer,has_faq,faq_question_count,has_at_a_glance,has_key_takeaways,has_toc,has_comparison_table,has_key_terms,has_decision_pathway,structured_headings_count,extractable_summary,issues,remediation_actions
3836,Best Dog Food UK (2026) – Complete Buying Guide,70,False,True,20,True,True,True,True,True,True,62,False,Missing Quick Answer block; First paragraph not extractable as summary,"Add Quick Answer block at top with 2-3 sentence direct answer; Rewrite first paragraph as clear, direct answer to the topic"
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,73,True,True,1,True,False,True,False,True,False,23,True,FAQ has only 1 questions (need 3+); Missing Key Takeaways section; No comparison table; Missing Decision Pathway section,Expand FAQ to 5+ questions (currently 1); Add Key Takeaways bullet list before main content; Add comparison/data table where applicable; Add Decision Pathway/How to Choose guide section
4414,Harness vs Collar: Which Is Better for Your Dog?,77,True,True,6,True,True,False,True,True,True,36,False,Missing Table of Contents; First paragraph not extractable as summary,"Add Table of Contents with anchor links; Rewrite first paragraph as clear, direct answer to the topic"
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,80,True,True,1,True,False,True,True,True,False,18,True,FAQ has only 1 questions (need 3+); Missing Key Takeaways section; Missing Decision Pathway section,Expand FAQ to 5+ questions (currently 1); Add Key Takeaways bullet list before main content; Add Decision Pathway/How to Choose guide section
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,83.0,True,True,4,True,True,True,True,True,True,49,False,First paragraph not extractable as summary,"Expand FAQ to 5+ questions (currently 4); Rewrite first paragraph as clear, direct answer to the topic"
8172,Our Research Standards,85,True,True,5,True,False,True,True,True,False,33,True,Missing Key Takeaways section; Missing Decision Pathway section,Add Key Takeaways bullet list before main content; Add Decision Pathway/How to Choose guide section
8171,Why PetHub Online Exists,85,True,True,5,True,False,True,True,True,False,29,True,Missing Key Takeaways section; Missing Decision Pathway section,Add Key Takeaways bullet list before main content; Add Decision Pathway/How to Choose guide section
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,85,True,True,5,True,True,True,True,True,True,45,False,First paragraph not extractable as summary,"Rewrite first paragraph as clear, direct answer to the topic"
7332,How to Wash and Dry a Dog Bed Safely,85,True,True,5,True,True,True,True,True,True,50,False,First paragraph not extractable as summary,"Rewrite first paragraph as clear, direct answer to the topic"
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,85,True,True,5,True,False,True,True,True,False,55,True,Missing Key Takeaways section; Missing Decision Pathway section,Add Key Takeaways bullet list before main content; Add Decision Pathway/How to Choose guide section
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,85,True,True,5,True,True,True,True,True,True,57,False,First paragraph not extractable as summary,"Rewrite first paragraph as clear, direct answer to the topic"
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,85,True,True,5,True,True,True,True,True,True,59,False,First paragraph not extractable as summary,"Rewrite first paragraph as clear, direct answer to the topic"
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,85,True,True,2,True,False,True,True,True,True,17,True,FAQ has only 2 questions (need 3+); Missing Key Takeaways section,Expand FAQ to 5+ questions (currently 2); Add Key Takeaways bullet list before main content
