post_id,title,url,seo_score,rm_seo_score,focus_keyword_status,focus_keyword,seo_title_status,seo_title,meta_desc_status,title_length,meta_desc_length,images_without_alt,total_images,internal_link_count,h2_count,word_count,issues,remediation_actions,suggested_meta_desc
4785,How to Wash and Maintain Your Dog’s Bed,https://pethubonline.com/how-to-wash-dog-bed/,78,0,SET,wash and maintain your dog's,MISSING,How to Wash and Maintain Your Dog’s Bed,SET,39,90,0,5,22,15,4166,SEO title same as post title; Title length 39 (ideal 50-60); Meta desc length 90 (ideal 120-160); Focus keyword not in title,Customize SEO title with keyword + brand; Title too short (+11 chars needed); Rewrite meta description to 120-160 chars; Include 'wash and maintain your dog's' in post title,
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,https://pethubonline.com/dog-toy-cleaning-guide/,82,0,SET,dog toy cleaning guide,MISSING,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,SET,49,63,0,0,17,15,4359,SEO title same as post title; Title length 49 (ideal 50-60); Meta desc length 63 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Expand title (+1 chars); Rewrite meta description to 120-160 chars; Add relevant images with descriptive alt text,
5419,Cat Care Basics: A Glossary for New Cat Owners,https://pethubonline.com/cat-care-basics-glossary/,82,0,SET,cat care basics,MISSING,Cat Care Basics: A Glossary for New Cat Owners,SET,46,46,0,0,14,9,4228,SEO title same as post title; Title length 46 (ideal 50-60); Meta desc length 46 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Expand title (+4 chars); Rewrite meta description to 120-160 chars; Add relevant images with descriptive alt text,
4563,Dog Grooming Basics: A Complete Guide for Owners,https://pethubonline.com/dog-grooming-basics-guide/,82,0,SET,dog grooming basics,MISSING,Dog Grooming Basics: A Complete Guide for Owners,SET,48,98,0,0,14,6,3816,SEO title same as post title; Title length 48 (ideal 50-60); Meta desc length 98 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Expand title (+2 chars); Rewrite meta description to 120-160 chars; Add relevant images with descriptive alt text,
4414,Harness vs Collar: Which Is Better for Your Dog?,https://pethubonline.com/harness-vs-collar-which-is-better/,82,0,SET,harness vs collar,MISSING,Harness vs Collar: Which Is Better for Your Dog?,SET,48,48,0,0,14,4,4024,SEO title same as post title; Title length 48 (ideal 50-60); Meta desc length 48 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Expand title (+2 chars); Rewrite meta description to 120-160 chars; Add relevant images with descriptive alt text,
5425,Dog Toys FAQ: Common Questions Answered,https://pethubonline.com/dog-toys-faq/,83,0,SET,dog toys faq,MISSING,Dog Toys FAQ: Common Questions Answered,SET,39,63,0,5,24,18,5519,SEO title same as post title; Title length 39 (ideal 50-60); Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Title too short (+11 chars needed); Rewrite meta description to 120-160 chars,
5423,Dog Toy Enrichment: Beyond Basic Fetch,https://pethubonline.com/dog-toy-enrichment-beyond-fetch/,83,0,SET,dog toy enrichment,MISSING,Dog Toy Enrichment: Beyond Basic Fetch,SET,38,38,0,5,20,14,4508,SEO title same as post title; Title length 38 (ideal 50-60); Meta desc length 38 (ideal 120-160),Customize SEO title with keyword + brand; Title too short (+12 chars needed); Rewrite meta description to 120-160 chars,
4790,DIY Dog Toys: Safe Homemade Options,https://pethubonline.com/diy-dog-toys-homemade/,83,0,SET,diy dog toys,MISSING,DIY Dog Toys: Safe Homemade Options,SET,35,63,0,5,21,15,3920,SEO title same as post title; Title length 35 (ideal 50-60); Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Title too short (+15 chars needed); Rewrite meta description to 120-160 chars,
5032,Cat Toys FAQ: Common Questions Answered,https://pethubonline.com/cat-toys-faq/,85,0,SET,cat toys faq,MISSING,Cat Toys FAQ: Common Questions Answered,SET,39,119,0,5,26,15,4546,SEO title same as post title; Title length 39 (ideal 50-60); Meta desc length 119 (ideal 120-160),Customize SEO title with keyword + brand; Title too short (+11 chars needed); Adjust meta description length to 120-160 chars,
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,https://pethubonline.com/pet-health-terminology-guide/,86,0,SET,pet health terminology,MISSING,Pet Health Terminology: A Guide to Common Veterinary Terms,SET,58,58,0,0,20,13,5765,SEO title same as post title; Meta desc length 58 (ideal 120-160); No images in content,Customize SEO title with keyword + brand; Rewrite meta description to 120-160 chars; Add relevant images with descriptive alt text,
5416,Dog Bed Types Explained: A Complete Glossary,https://pethubonline.com/dog-bed-types-glossary/,87,0,SET,dog bed types explained,MISSING,Dog Bed Types Explained: A Complete Glossary,SET,44,99,0,4,19,9,5054,SEO title same as post title; Title length 44 (ideal 50-60); Meta desc length 99 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+6 chars); Rewrite meta description to 120-160 chars,
5414,Cat Toy Types Explained: A Complete Glossary,https://pethubonline.com/cat-toy-types-glossary/,87,0,SET,cat toy types explained,MISSING,Cat Toy Types Explained: A Complete Glossary,SET,44,78,0,5,17,13,4241,SEO title same as post title; Title length 44 (ideal 50-60); Meta desc length 78 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+6 chars); Rewrite meta description to 120-160 chars,
4791,How to Choose the Right Dog Training Treats,https://pethubonline.com/how-to-choose-dog-training-treats/,87,0,SET,choose the right dog training,MISSING,How to Choose the Right Dog Training Treats,SET,43,71,0,5,28,15,4123,SEO title same as post title; Title length 43 (ideal 50-60); Meta desc length 71 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+7 chars); Rewrite meta description to 120-160 chars,
4789,Best Types of Dog Toys for Different Play Styles,https://pethubonline.com/dog-toys-for-different-play-styles/,87,0,SET,types of dog toys for,MISSING,Best Types of Dog Toys for Different Play Styles,SET,48,63,0,5,21,15,3928,SEO title same as post title; Title length 48 (ideal 50-60); Meta desc length 63 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+2 chars); Rewrite meta description to 120-160 chars,
4783,How to Choose the Right Dog Bed Size,https://pethubonline.com/how-to-choose-dog-bed-size/,87,0,SET,choose the right dog bed,MISSING,How to Choose the Right Dog Bed Size,SET,36,135,0,5,22,14,4220,SEO title same as post title; Title length 36 (ideal 50-60),Customize SEO title with keyword + brand; Title too short (+14 chars needed),
4568,Dog Dental Health: A Practical Care Guide,https://pethubonline.com/dog-dental-health-care-guide/,87,0,SET,dog dental health,MISSING,Dog Dental Health: A Practical Care Guide,SET,41,94,0,4,11,12,2656,SEO title same as post title; Title length 41 (ideal 50-60); Meta desc length 94 (ideal 120-160),Customize SEO title with keyword + brand; Expand title (+9 chars); Rewrite meta description to 120-160 chars,
