id,title,cluster,practical_guide_added,decision_pathway_added,comparison_tables_added,status
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Puppy Care,yes,yes,2,complete
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,yes,yes,0,complete
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,yes,yes,5,complete
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,yes,yes,2,complete
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,yes,yes,3,complete
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,yes,yes,4,complete
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,yes,yes,3,complete
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,yes,yes,3,complete
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,yes,yes,2,complete
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,yes,yes,2,complete
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,yes,yes,2,complete
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,yes,yes,2,complete
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,yes,yes,2,complete
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,yes,yes,0,complete
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,yes,yes,2,complete
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,yes,yes,3,complete
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Grooming,yes,yes,0,complete
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Grooming,yes,yes,1,complete
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Grooming,yes,yes,5,complete
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,yes,yes,2,complete
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Grooming,yes,yes,1,complete
4568,Dog Dental Health: A Practical Care Guide,Dog Health,yes,yes,2,complete
4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care,yes,yes,4,complete
4783,How to Choose the Right Dog Bed Size,Dog Beds,yes,yes,2,complete
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,yes,yes,2,complete
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,yes,yes,2,complete
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,yes,yes,3,complete
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,yes,yes,4,complete
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,yes,yes,4,complete
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,yes,yes,2,complete
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,yes,yes,5,complete
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,yes,yes,8,complete
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,yes,yes,4,complete
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,yes,yes,4,complete
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,yes,yes,4,complete
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,yes,yes,4,complete
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,yes,yes,4,complete
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,yes,yes,4,complete
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,yes,yes,7,complete
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,yes,yes,4,complete
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,yes,yes,4,complete
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,yes,yes,6,complete
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,yes,yes,7,complete
