url,status,noindex,canonical,indexable
best-interactive-cat-toys-indoor-cats,200,False,False,True
diy-cat-toys-safe-homemade-options,200,False,False,True
how-often-replace-cat-toys,200,False,False,True
kitten-vs-adult-cat-toys-age-appropriate,200,False,False,True
cat-enrichment-activities-beyond-toys,200,False,False,True
cat-toy-safety-guide,200,False,False,True
dog-harnesses-complete-guide,200,False,False,True
no-pull-dog-harness-guide,200,False,False,True
how-to-measure-dog-for-harness,200,False,False,True
harness-vs-collar-which-is-better,200,False,False,True
