improvement,type,current_state,proposed_change,expected_impact,risk,owner_approval,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Add methodology note section,CONTENT,No visible methodology or editorial process on homepage,"Add a short How We Choose Products section (3-4 sentences) below hero area, with link to full methodology page",HIGH - trust + credibility signal for both users and AI,LOW,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Add FAQ section to homepage,CONTENT,No FAQ on homepage,Add 5-7 common questions (What is PetHubOnline? How do you choose products? Are reviews independent? etc.) with concise answers,"HIGH - improves AI visibility, featured snippet potential, and user trust",LOW,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Add comparison table opportunity,CONTENT,Homepage has category cards but no comparison content,"Add a Quick Category Comparison table (Dog Supplies, Cat Supplies, key sub-categories) to help users navigate",MEDIUM,LOW,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Improve trust icon alt text,TECHNICAL,Alt text: Homepage Trust Icon 1/2/3 (generic),"Update to descriptive alt text (e.g., Free Delivery Icon, Expert Reviews Icon, Secure Shopping Icon) matching what each icon represents",LOW - accessibility and SEO micro-improvement,NONE,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Rename OG image file,TECHNICAL,Filename: ChatGPT-Image-Apr-25-2026-01_42_23-AM.png,"Rename to pethub-og-share-image.png (neutral, professional filename)",LOW - removes AI-generation signal from metadata,NONE,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Fix category route clarity,CONTENT,Homepage links to category pages. Category pages have substantial content but posts are disconnected (Uncategorized).,Fix post category assignments so category pages properly show their sub-topic posts,HIGH - proper internal linking structure,LOW,YES for category mapping,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Review Service schema,TECHNICAL,Homepage schema includes Service type with Offer/InStock/GBP pricing for a free content site,Remove or restructure Service+Offer schema. A content/review site is not selling a service.,MEDIUM - removes potentially misleading schema,LOW,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Add visible last updated date,TECHNICAL,dateModified exists in schema but not visible to users,Show Last Updated: date on homepage and key pages via Astra theme customization,MEDIUM - freshness signal for users and search engines,LOW,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Strengthen internal links to published posts,CONTENT,Homepage links to category hub pages but not directly to top individual posts,Add a Latest Articles or Popular Guides section linking to top-performing posts,"MEDIUM - distributes link equity, improves discoverability",LOW,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
Fix image distortion CSS,TECHNICAL,Some images may distort when container dimensions differ from intrinsic aspect ratio,Add object-fit: cover/contain rules to image containers,LOW - visual polish,NONE,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_homepage_improvements_proposed,Start with TECHNICAL quick wins (no approval needed) then propose CONTENT changes
