post_id,title,word_count,depth_score,faq_score,glossary_score,trust_score,comparison_score,practical_score,external_ref_score,internal_link_score,semantic_score,freshness_score,overall_quality,quality_tier
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Throug,1394,100,100,97,100,60,100,90,92,100,0,88.9,S
6047,Play Recovery After Surgery: Gentle Enrichment for Healing D,1411,100,100,97,100,60,100,90,92,100,0,88.9,S
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,1389,100,100,97,100,60,100,90,92,100,0,88.9,S
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,1316,100,100,97,100,60,100,90,92,100,0,88.9,S
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart ,1400,100,100,97,100,60,100,90,92,100,0,88.9,S
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,1375,100,100,97,100,60,100,90,92,100,0,88.9,S
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,3733,100,100,100,100,100,100,0,84,100,100,88.4,S
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standa",3791,100,100,100,100,60,100,60,76,100,0,84.6,A
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,1410,100,100,100,100,60,85,0,100,100,100,84.5,A
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,4254,100,100,100,100,60,100,0,84,100,100,84.4,A
5523,"Dog Training Equipment Explained: Tools, Uses, and What to A",3382,100,100,61,100,60,100,90,76,100,0,83.7,A
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,3200,100,100,100,100,0,100,90,68,100,50,83.3,A
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ide",3278,100,100,100,100,0,100,90,68,100,50,83.3,A
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend The,3485,100,100,100,100,0,100,90,92,100,0,83.2,A
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,1177,98.1,75,100,100,60,100,0,100,100,100,83.2,A
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engage,3145,100,100,100,100,60,30,90,76,100,50,83.1,A
4415,Cat Toy Safety Guide: What Every Owner Should Know,1200,100,75,100,100,60,100,0,100,73,100,82.2,A
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,1212,100,75,100,100,60,100,0,100,63,100,81.7,A
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How,2996,100,100,61,100,60,100,60,84,100,0,81.5,A
4568,Dog Dental Health: A Practical Care Guide,1181,98.4,60,100,100,0,100,60,100,88,100,81.2,A
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,2106,100,100,100,100,60,100,0,100,100,0,81.0,A
5036,Understanding Cat Play Behaviour: What Different Play Styles,1158,96.5,100,100,100,60,100,0,100,100,0,80.5,A
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Li,1319,100,100,97,100,60,15,90,92,100,0,80.4,A
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Do,1319,100,100,97,100,60,15,90,92,100,0,80.4,A
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Throu,1302,100,100,97,100,60,15,90,92,100,0,80.4,A
4414,Harness vs Collar: Which Is Better for Your Dog?,1053,87.8,60,100,100,60,100,0,100,98,100,80.1,A
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistake",1260,100,100,100,100,0,100,90,60,100,0,80.0,A
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain ",3255,100,100,100,100,60,0,90,100,100,0,80.0,A
4571,Pet First Aid Basics: What Every Owner Should Know,1257,100,100,100,100,0,100,0,100,100,100,80.0,A
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,1438,100,100,100,100,60,100,0,40,100,100,80.0,A
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Me",3365,100,100,61,100,60,100,60,68,100,0,79.9,A
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too ,1295,100,100,100,100,0,100,90,52,100,0,79.2,A
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Sp,1289,100,100,97,100,0,100,90,52,100,0,78.9,A
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your D,1236,100,100,97,100,0,100,90,52,100,0,78.9,A
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,1279,100,100,97,100,0,100,90,52,100,0,78.9,A
5462,Dog Training Terminology Explained: Key Concepts for New Own,2937,100,100,73,100,0,100,90,76,100,0,78.9,A
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happ,3738,100,100,61,100,0,100,60,92,100,50,78.8,A
4783,How to Choose the Right Dog Bed Size,1323,100,100,100,100,0,100,0,84,100,100,78.4,A
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,3234,100,100,100,100,100,0,0,84,100,100,78.4,A
5512,Dog Behaviour Explained: Understanding Your Dog's Body Langu,3334,100,100,61,100,0,100,90,76,100,0,77.7,A
