# generated_at: 2026-05-27 21:20:33 UTC
# source_server: 167.99.198.145
# generated_by: execute_ai_visibility.py
# data_source_label: live_wordpress_api
post_id,title,slug,readiness_before,readiness_after,improvements_applied,faq_added,summary_added,entity_improved,status,skip_reason
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,best-cat-litter-disposal-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,best-self-cleaning-litter-trays-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,best-cat-litter-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4314,Best Cat Litter Trays UK (2026) – Complete Guide,best-cat-litter-trays-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,best-wall-mounted-cat-scratchers-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,best-cardboard-cat-scratchers-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,best-cat-trees-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,best-cat-scratching-posts-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,best-cat-harnesses-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4272,Best Cat ID Tags UK (2026) – Identification Guide,best-cat-id-tags-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,best-cat-gps-trackers-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4258,Best Cat Collars UK (2026) – Complete Safety Guide,best-cat-collars-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
