cluster,dimension,current_score,target_score,gap,effort_to_close,priority,suggested_first_action
Birds,Trust Intensity,38.0,60,22.0,High,Critical,Add 'Reviewed by' credentials and editorial methodology section to Birds posts
Birds,Glossary Density,32.0,60,28.0,High,High,Add Key Terms block with bold-dash definitions to each Birds post
Birds,Faq Coverage,24.0,60,36.0,High,High,Add structured FAQ section (5+ questions) with schema markup to Birds posts
Birds,Comparison Density,0.0,60,60.0,Very High,Critical,Add comparison tables with ratings and pro/con sections to Birds posts
Birds,Practical Usefulness,41.0,60,19.0,Medium,High,"Add step-by-step guides, checklists, and troubleshooting sections to Birds posts"
Birds,Educational Depth,67.0,82.0,15.0,Medium,Medium,"Expand Birds posts with deeper subheadings, lists, and 1500+ word targets"
Birds,External References,16.0,60,44.0,Very High,Critical,Add 3+ authoritative citations (RSPCA/BVA/PDSA/gov.uk) to each Birds post
Birds,Internal Link Density,98.0,100,2.0,Low,Low,Add 3-5 contextual internal links per Birds post to related content
Birds,Answer Readiness,63.0,78.0,15.0,Medium,Medium,Add quick-answer boxes and structured data markup to Birds posts
Birds,Citation Confidence,27.0,60,33.0,High,High,Add named expert quotes and data-backed claims to Birds posts
Birds,Semantic Depth,37.0,60,23.0,High,Medium,Incorporate more domain-specific terminology and definitions in Birds posts
Birds,Beginner Accessibility,30.0,60,30.0,High,Medium,Add beginner-friendly explanations and 'what this means' sections to Birds posts
Birds,Safety Coverage,29.0,60,31.0,High,Medium,Add safety warnings and 'when to see a vet' sections to Birds posts
Birds,Decision Support,31.0,60,29.0,High,Medium,Add buying guides with evaluation criteria and size/breed matching to Birds posts
Birds,Authority Balance,55.0,70.0,15.0,Medium,Low,Balance dimension scores across Birds posts by lifting weakest areas
Cat Accessories,Trust Intensity,35.57,60,24.43,High,Critical,Add 'Reviewed by' credentials and editorial methodology section to Cat Accessories posts
Cat Accessories,Glossary Density,29.0,60,31.0,High,High,Add Key Terms block with bold-dash definitions to each Cat Accessories post
Cat Accessories,Faq Coverage,25.43,60,34.57,High,High,Add structured FAQ section (5+ questions) with schema markup to Cat Accessories posts
Cat Accessories,Comparison Density,3.14,60,56.86,Very High,Critical,Add comparison tables with ratings and pro/con sections to Cat Accessories posts
Cat Accessories,Practical Usefulness,29.64,60,30.36,High,Critical,"Add step-by-step guides, checklists, and troubleshooting sections to Cat Accessories posts"
Cat Accessories,Educational Depth,71.36,86.36,15.0,Medium,Medium,"Expand Cat Accessories posts with deeper subheadings, lists, and 1500+ word targets"
Cat Accessories,External References,15.86,60,44.14,Very High,Critical,Add 3+ authoritative citations (RSPCA/BVA/PDSA/gov.uk) to each Cat Accessories post
Cat Accessories,Internal Link Density,96.14,100,3.86,Low,Low,Add 3-5 contextual internal links per Cat Accessories post to related content
Cat Accessories,Answer Readiness,61.0,76.0,15.0,Medium,Medium,Add quick-answer boxes and structured data markup to Cat Accessories posts
Cat Accessories,Citation Confidence,27.5,60,32.5,High,High,Add named expert quotes and data-backed claims to Cat Accessories posts
Cat Accessories,Semantic Depth,28.86,60,31.14,High,Medium,Incorporate more domain-specific terminology and definitions in Cat Accessories posts
Cat Accessories,Beginner Accessibility,28.5,60,31.5,High,Medium,Add beginner-friendly explanations and 'what this means' sections to Cat Accessories posts
Cat Accessories,Safety Coverage,10.14,60,49.86,Very High,Medium,Add safety warnings and 'when to see a vet' sections to Cat Accessories posts
Cat Accessories,Decision Support,25.79,60,34.21,High,Medium,Add buying guides with evaluation criteria and size/breed matching to Cat Accessories posts
Cat Accessories,Authority Balance,45.93,60.93,15.0,Medium,Low,Balance dimension scores across Cat Accessories posts by lifting weakest areas
Cat Toys,Trust Intensity,31.76,60,28.24,High,Critical,Add 'Reviewed by' credentials and editorial methodology section to Cat Toys posts
Cat Toys,Glossary Density,36.38,60,23.62,High,High,Add Key Terms block with bold-dash definitions to each Cat Toys post
Cat Toys,Faq Coverage,27.86,60,32.14,High,High,Add structured FAQ section (5+ questions) with schema markup to Cat Toys posts
Cat Toys,Comparison Density,7.38,60,52.62,Very High,Critical,Add comparison tables with ratings and pro/con sections to Cat Toys posts
Cat Toys,Practical Usefulness,31.14,60,28.86,High,High,"Add step-by-step guides, checklists, and troubleshooting sections to Cat Toys posts"
Cat Toys,Educational Depth,68.33,83.33,15.0,Medium,Medium,"Expand Cat Toys posts with deeper subheadings, lists, and 1500+ word targets"
Cat Toys,External References,13.29,60,46.71,Very High,Critical,Add 3+ authoritative citations (RSPCA/BVA/PDSA/gov.uk) to each Cat Toys post
Cat Toys,Internal Link Density,97.9,100,2.1,Low,Low,Add 3-5 contextual internal links per Cat Toys post to related content
Cat Toys,Answer Readiness,56.52,71.52000000000001,15.0,Medium,Medium,Add quick-answer boxes and structured data markup to Cat Toys posts
Cat Toys,Citation Confidence,22.24,60,37.76,High,Critical,Add named expert quotes and data-backed claims to Cat Toys posts
Cat Toys,Semantic Depth,33.67,60,26.33,High,Medium,Incorporate more domain-specific terminology and definitions in Cat Toys posts
Cat Toys,Beginner Accessibility,27.19,60,32.81,High,Medium,Add beginner-friendly explanations and 'what this means' sections to Cat Toys posts
Cat Toys,Safety Coverage,7.76,60,52.24,Very High,Medium,Add safety warnings and 'when to see a vet' sections to Cat Toys posts
Cat Toys,Decision Support,10.38,60,49.62,Very High,Medium,Add buying guides with evaluation criteria and size/breed matching to Cat Toys posts
Cat Toys,Authority Balance,41.81,60,18.19,Medium,Low,Balance dimension scores across Cat Toys posts by lifting weakest areas
Dog Accessories,Trust Intensity,40.64,60,19.36,Medium,High,Add 'Reviewed by' credentials and editorial methodology section to Dog Accessories posts
Dog Accessories,Glossary Density,30.27,60,29.73,High,High,Add Key Terms block with bold-dash definitions to each Dog Accessories post
Dog Accessories,Faq Coverage,30.36,60,29.64,High,High,Add structured FAQ section (5+ questions) with schema markup to Dog Accessories posts
Dog Accessories,Comparison Density,5.45,60,54.55,Very High,Critical,Add comparison tables with ratings and pro/con sections to Dog Accessories posts
Dog Accessories,Practical Usefulness,34.73,60,25.27,High,High,"Add step-by-step guides, checklists, and troubleshooting sections to Dog Accessories posts"
Dog Accessories,Educational Depth,71.36,86.36,15.0,Medium,Medium,"Expand Dog Accessories posts with deeper subheadings, lists, and 1500+ word targets"
Dog Accessories,External References,11.0,60,49.0,Very High,Critical,Add 3+ authoritative citations (RSPCA/BVA/PDSA/gov.uk) to each Dog Accessories post
Dog Accessories,Internal Link Density,96.36,100,3.64,Low,Low,Add 3-5 contextual internal links per Dog Accessories post to related content
Dog Accessories,Answer Readiness,63.0,78.0,15.0,Medium,Medium,Add quick-answer boxes and structured data markup to Dog Accessories posts
