id,title,cluster,glossary_added,common_mistakes_added,when_to_seek_help_added,beginner_recs_added,at_a_glance_added,key_takeaways_added,status
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
4783,How to Choose the Right Dog Bed Size,Dog Beds,already_exists,yes,yes,yes,already_exists,already_exists,updated
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,yes,yes,yes,yes,already_exists,already_exists,updated
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,already_exists,yes,yes,yes,already_exists,already_exists,updated
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,already_exists,yes,yes,yes,already_exists,already_exists,updated
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,already_exists,yes,yes,yes,already_exists,already_exists,updated
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,yes,yes,yes,yes,already_exists,already_exists,updated
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,yes,yes,yes,yes,already_exists,already_exists,updated
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,yes,yes,yes,yes,already_exists,already_exists,updated
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,yes,yes,yes,yes,already_exists,already_exists,updated
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,already_exists,already_exists,already_exists,yes,already_exists,already_exists,updated
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,yes,yes,yes,yes,already_exists,already_exists,updated
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,already_exists,already_exists,yes,yes,already_exists,already_exists,updated
