# generated_at: 2026-05-27T20:48:03Z
# source_server: 167.99.198.145
# git_commit: 078d7e2
# generated_by: Phase10B_Authority_Expansion_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_site_crawl
# total_posts: 58
# high_readiness: 4
# medium_readiness: 52
# low_readiness: 2
# avg_readiness: 51
# no_fake_claims: TRUE
# approval_status: GREEN_auto
# next_action: optimize_low_readiness_posts_first
post_id,slug,title,cluster,word_count,headings,lists,tables,faq_sections,definitions,faq_schema,howto_schema,answer_readiness,ai_visibility_tier,opportunities,citation_potential,entity_coverage,approval_status,next_action
4335,best-cat-litter-disposal-uk,Best Cat Litter Disposal UK (2026) – Waste Managem,cat_litter,733,14,4,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4328,best-self-cleaning-litter-trays-uk,Best Self-Cleaning Litter Trays UK (2026) – Automa,cat_litter,672,14,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4321,best-cat-litter-uk,Best Cat Litter UK (2026) – Types &#038; Compariso,cat_litter,655,14,2,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4314,best-cat-litter-trays-uk,Best Cat Litter Trays UK (2026) – Complete Guide,cat_litter,901,16,4,0,1,0,no,no,50,medium,add_comparison_table; add_definitions,medium,needs_improvement,GREEN_auto,optimize
4307,best-wall-mounted-cat-scratchers-uk,Best Wall-Mounted Cat Scratchers UK (2026) – Space,cat_scratching,658,14,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4300,best-cardboard-cat-scratchers-uk,Best Cardboard Cat Scratchers UK (2026) – Budget F,cat_scratching,627,14,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4293,best-cat-trees-uk,Best Cat Trees UK (2026) – Climbing &#038; Scratch,cat_scratching,690,14,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4286,best-cat-scratching-posts-uk,Best Cat Scratching Posts UK (2026) – Complete Gui,cat_scratching,837,15,4,0,1,0,no,no,50,medium,add_comparison_table; add_definitions,medium,needs_improvement,GREEN_auto,optimize
4279,best-cat-harnesses-uk,Best Cat Harnesses UK (2026) – Safe Walking Guide,other,692,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4272,best-cat-id-tags-uk,Best Cat ID Tags UK (2026) – Identification Guide,other,704,14,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4265,best-cat-gps-trackers-uk,Best Cat GPS Trackers UK (2026) – Location Trackin,other,687,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4258,best-cat-collars-uk,Best Cat Collars UK (2026) – Complete Safety Guide,cat_collars,815,15,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions,medium,needs_improvement,GREEN_auto,optimize
4251,best-cat-shampoo-uk,Best Cat Shampoo UK (2026) – When &#038; How to Ba,other,694,14,4,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4244,best-cat-nail-clippers-uk,Best Cat Nail Clippers UK (2026) – Safe Trimming G,other,673,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4237,best-cat-brushes-uk,Best Cat Brushes UK (2026) – Guide by Coat Type,other,641,13,2,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4230,best-cat-grooming-supplies-uk,Best Cat Grooming Supplies UK (2026) – Complete Gu,cat_grooming,705,13,4,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4223,best-cat-window-perches-uk,Best Cat Window Perches UK (2026) – Sunning &#038;,cat_beds,679,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4216,best-cat-radiator-beds-uk,Best Cat Radiator Beds UK (2026) – Hook-On Warmth ,cat_beds,615,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4209,best-heated-cat-beds-uk,Best Heated Cat Beds UK (2026) – Winter Warmth Gui,cat_beds,662,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4202,best-cat-beds-uk,Best Cat Beds UK (2026) – Complete Guide,cat_beds,779,15,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4195,best-cat-toys-indoor-cats-uk,Best Cat Toys for Indoor Cats UK (2026) – Enrichme,cat_toys,655,14,7,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4188,best-catnip-toys-uk,Best Catnip Toys UK (2026) – What Works and Why,cat_toys,624,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4181,best-interactive-cat-toys-uk,Best Interactive Cat Toys UK (2026) – Wand &#038; ,cat_toys,638,13,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4174,best-cat-toys-uk,Best Cat Toys UK (2026) – Complete Guide,cat_toys,786,15,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4167,best-dog-water-bottles-uk,Best Dog Water Bottles UK (2026) – Travel Hydratio,other,706,15,4,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4160,best-elevated-dog-bowls-uk,Best Elevated Dog Bowls UK (2026) – Raised Feeder ,dog_bowls,739,15,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
4153,best-slow-feeder-dog-bowls-uk,Best Slow Feeder Dog Bowls UK (2026) – Prevent Spe,dog_bowls,673,14,3,0,1,0,no,no,50,medium,add_comparison_table; add_definitions; expand_content,medium,needs_improvement,GREEN_auto,optimize
