source_id,source_title,target_id,target_title,corridor,anchor_text,status
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,4563,Dog Grooming Basics: A Complete Guide for Owners,Cat Supplies -> Dog Grooming,Dog Grooming Basics: A Complete Guide for Owners,INSERTED
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies -> Indoor Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,INSERTED
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,4563,Dog Grooming Basics: A Complete Guide for Owners,Cat Supplies -> Dog Grooming,Dog Grooming Basics: A Complete Guide for Owners,INSERTED
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies -> Indoor Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,INSERTED
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,4563,Dog Grooming Basics: A Complete Guide for Owners,Cat Supplies -> Dog Grooming,Dog Grooming Basics: A Complete Guide for Owners,INSERTED
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies -> Indoor Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,INSERTED
4563,Dog Grooming Basics: A Complete Guide for Owners,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Grooming -> Cat Supplies,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Grooming -> Cat Supplies,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Grooming -> Cat Supplies,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Food -> Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",INSERTED
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Food -> Puppy Care,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Food -> Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",INSERTED
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Food -> Puppy Care,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Food -> Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",INSERTED
